id,seed,stimulus,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
14,1886876404,Power BI,4,2,3,1,4,3,3,3,4,4
18,823070095,Tableau,3,2,4,1,4,2,4,3,4,2
23,113523666,JMP,5,1,5,1,4,1,4,1,5,3
24,675873429,Qlik,5,1,5,1,5,1,5,1,5,3
25,886668237,Tableau,4,3,3,2,4,2,3,2,5,3
26,1684659697,Tableau,5,2,5,1,4,1,3,1,5,1
28,853748090,Power BI,2,1,2,4,2,3,2,3,2,5
11,1067977115,Superset,2,3,4,2,4,2,2,3,2,2
16,1509533776,AnGraVis,2,1,4,4,5,1,3,1,5,2
17,320709478,Power BI,5,2,3,2,4,2,3,2,4,1
21,1619005980,Tableau,5,2,4,3,5,1,3,2,4,3
22,1215486064,Tableau,3,2,4,2,4,2,4,1,4,3
24,381776477,Gephi,3,2,4,2,5,3,2,3,4,3
26,1436526393,Tableau,4,1,3,1,5,2,3,2,4,5
27,801069651,Tableau,4,1,4,1,4,1,3,2,4,3
28,1452448240,Tableau,2,1,5,1,4,1,4,2,4,1
32,978948372,Tableau,4,1,4,2,5,2,3,1,4,3
34,1205869978,Tableau,3,4,2,4,3,2,1,4,2,4
37,1339673230,NVivo/SPSS,3,2,4,1,4,2,4,2,4,2
38,1766729781,Tableau,3,2,4,1,4,1,4,1,4,3
39,1200459716,Excel,2,3,4,1,4,2,4,2,4,3
41,2131585415,Power BI,3,3,3,4,4,3,3,3,4,2
42,1294407334,Power BI,5,1,4,1,4,2,4,1,4,2
45,1882719274,Tableau,2,2,4,3,3,3,4,1,4,2
46,997895869,Data Studio,5,5,5,5,5,3,3,3,5,5
48,859134234,Excel,5,2,2,4,5,1,2,3,3,5
51,932944878,Power BI,5,2,4,2,4,2,4,2,4,2
52,284370096,Tableau,2,4,1,2,3,3,1,3,2,5
54,2143177834,Gephi,5,2,3,1,5,1,2,3,4,3
60,1915820641,Power BI,3,3,2,1,3,2,1,3,4,4
64,1525435672,Tableau,4,3,3,4,5,1,2,2,4,4
66,37513846,Streamlit,5,2,4,2,4,2,4,2,4,2
67,1563334965,Tableau,4,2,3,3,3,2,4,2,4,3
70,368349023,Quick Sight,5,2,5,2,4,1,5,1,4,2
74,1748214382,Power BI,4,3,4,3,4,2,5,3,4,2
7,716877815,Power BI,4,2,4,1,4,1,4,1,5,3
14,1845262647,Power BI,3,2,4,3,4,4,2,3,4,4
15,1211989598,Power BI,4,2,3,4,4,2,3,3,4,3
16,1335867889,Power BI,4,4,5,4,4,2,1,4,2,3
22,994653189,Tableau,4,4,2,2,4,2,2,4,3,5
28,553357237,Gephi,5,3,3,2,4,2,1,3,3,5
37,456879119,Power BI,4,5,4,2,4,3,4,4,5,2
42,1122402820,Power BI,5,1,5,1,5,1,5,1,5,1
44,1564399477,Data Studio,5,1,1,2,5,1,4,1,5,1
46,1615005964,Tableau,4,2,4,1,4,2,4,1,4,2
55,1093865409,Power BI,2,1,4,2,5,1,3,1,3,4
58,400273160,Tally ERP,5,3,5,5,5,2,4,3,5,2
59,1315070696,Tableau,5,3,3,3,4,2,4,3,4,5
