"id","seed","stimulus","P026","P088","P4026A","P022A","P067","P089","P097","P098","P106","P027","P060","P064","P301"
14,1886876404,"Power BI",6,5,5,7,5,6,7,6,7,6,6,6,6
18,823070095,"Tableau",7,7,6,6,7,5,5,5,5,7,6,5,6
23,113523666,"JMP",7,7,7,7,7,7,7,7,7,7,7,7,7
24,675873429,"Qlik",7,7,7,7,7,7,7,7,7,7,7,7,7
25,886668237,"Tableau",3,6,6,7,4,6,6,6,6,6,3,3,6
26,1684659697,"Tableau",7,7,7,7,7,6,7,7,6,7,7,7,7
28,853748090,"Power BI",5,3,5,5,4,4,4,6,NA,4,3,3,5
11,1067977115,"Superset",3,4,3,5,5,6,4,6,6,5,4,5,5
16,1509533776,"AnGraVis",5,7,7,7,3,6,5,6,7,NA,6,4,7
17,320709478,"Power BI",4,5,5,7,3,5,6,6,6,4,6,6,7
21,1619005980,"Tableau",7,7,7,6,4,6,6,7,6,7,6,6,7
22,1215486064,"Tableau",7,7,7,6,5,7,6,7,7,6,7,5,6
24,381776477,"Gephi",7,6,5,7,4,6,6,7,6,5,6,6,6
26,1436526393,"Tableau",3,5,4,6,5,6,7,6,5,5,7,7,7
27,801069651,"Tableau",6,6,6,7,6,7,7,6,7,7,7,7,7
28,1452448240,"Tableau",6,6,6,6,7,7,6,7,7,5,6,7,5
32,978948372,"Tableau",3,6,6,7,6,6,6,6,6,7,7,7,7
34,1205869978,"Tableau",6,2,3,7,3,6,5,7,6,4,6,5,6
37,1339673230,"NVivo/SPSS",5,6,5,4,7,5,7,5,7,7,7,3,7
38,1766729781,"Tableau",5,6,4,6,6,6,6,7,7,7,6,6,7
39,1200459716,"Excel",6,6,6,6,6,6,6,6,6,5,4,5,6
41,2131585415,"Power BI",3,5,3,5,5,6,5,6,6,5,3,3,5
42,1294407334,"Power BI",6,6,6,6,7,6,6,6,6,6,7,7,6
45,1882719274,"Tableau",6,6,6,6,5,6,6,5,6,5,5,4,5
46,997895869,"Data Studio",7,6,6,6,6,6,6,6,6,6,6,7,7
48,859134234,"Excel",2,2,7,7,3,6,7,6,6,6,5,4,7
51,932944878,"PowerBI",5,5,6,6,3,6,6,5,6,7,7,6,7
52,284370096,"Tableau",2,3,3,5,7,6,6,7,6,5,5,7,6
54,2143177834,"Gephi",3,4,3,7,6,7,7,7,7,7,6,5,7
60,1915820641,"Power BI",2,2,2,6,7,7,6,6,6,5,6,6,7
64,1525435672,"Tableau",4,3,3,5,6,5,5,5,7,6,6,6,5
66,37513846,"Streamlit",6,6,6,7,6,7,6,6,6,6,6,6,7
67,1563334965,"Tableau",4,5,4,5,4,6,5,6,5,6,5,5,6
70,368349023,"AWS QuickSight",7,7,6,7,5,7,5,7,7,6,5,5,6
74,1748214382,"Power BI",7,7,5,6,5,7,6,6,6,6,6,6,7
7,716877815,"Power BI",6,5,6,7,6,6,7,6,6,6,5,5,7
14,1845262647,"Power BI",6,6,5,6,5,6,6,6,6,6,6,6,7
15,1211989598,"Power BI",4,4,3,4,5,5,4,5,5,5,4,5,5
