SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,,,,,,,,,,,
4,2,3,1,4,3,3,3,4,4,,,,,,,,,,,
3,2,4,1,4,2,4,3,4,2,,,,,,,,,,,
5,1,5,1,4,1,4,1,5,3,,,,,,,,,,,
5,1,5,1,5,1,5,1,5,3,,,,,,,,,,,
4,3,3,2,4,2,3,2,5,3,,,,,,,,,,,
5,2,5,1,4,1,3,1,5,1,,,,,,,,,,,
2,1,2,4,2,3,2,3,2,5,,,,,,,,,,,
2,3,4,2,4,2,2,3,2,2,,,,,,,,,,,
2,1,4,4,5,1,3,1,5,2,,,,,,,,,,,
5,2,3,2,4,2,3,2,4,1,,,,,,,,,,,
5,2,4,3,5,1,3,2,4,3,,,,,,,,,,,
3,2,4,2,4,2,4,1,4,3,,,,,,,,,,,
3,2,4,2,5,3,2,3,4,3,,,,,,,,,,,
4,1,3,1,5,2,3,2,4,5,,,,,,,,,,,
4,1,4,1,4,1,3,2,4,3,,,,,,,,,,,
2,1,5,1,4,1,4,2,4,1,,,,,,,,,,,
4,1,4,2,5,2,3,1,4,3,,,,,,,,,,,
3,4,2,4,3,2,1,4,2,4,,,,,,,,,,,
3,2,4,1,4,2,4,2,4,2,,,,,,,,,,,
3,2,4,1,4,1,4,1,4,3,,,,,,,,,,,
2,3,4,1,4,2,4,2,4,3,,,,,,,,,,,
3,3,3,4,4,3,3,3,4,2,,,,,,,,,,,
5,1,4,1,4,2,4,1,4,2,,,,,,,,,,,
2,2,4,3,3,3,4,1,4,2,,,,,,,,,,,
5,5,5,5,5,3,3,3,5,5,,,,,,,,,,,
5,2,2,4,5,1,2,3,3,5,,,,,,,,,,,
5,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
2,4,1,2,3,3,1,3,2,5,,,,,,,,,,,
5,2,3,1,5,1,2,3,4,3,,,,,,,,,,,
3,3,2,1,3,2,1,3,4,4,,,,,,,,,,,
4,3,3,4,5,1,2,2,4,4,,,,,,,,,,,
5,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
4,2,3,3,3,2,4,2,4,3,,,,,,,,,,,
5,2,5,2,4,1,5,1,4,2,,,,,,,,,,,
4,3,4,3,4,2,5,3,4,2,,,,,,,,,,,
4,2,4,1,4,1,4,1,5,3,,,,,,,,,,,14.11
3,2,4,3,4,4,2,3,4,4,,,,,,,,,,,13.63
4,2,3,4,4,2,3,3,4,3,,,,,,,,,,,16.56
4,4,5,4,4,2,1,4,2,3,,,,,,,,,,,24.64
4,4,2,2,4,2,2,4,3,5,,,,,,,,,,,
5,3,3,2,4,2,1,3,3,5,,,,,,,,,,,
4,5,4,2,4,3,4,4,5,2,,,,,,,,,,,39.32
5,1,5,1,5,1,5,1,5,1,,,,,,,,,,,37.58
5,1,1,2,5,1,4,1,5,1,,,,,,,,,,,
4,2,4,1,4,2,4,1,4,2,,,,,,,,,,,
2,1,4,2,5,1,3,1,3,4,,,,,,,,,,,31.43
5,3,5,5,5,2,4,3,5,2,,,,,,,,,,,
5,3,3,3,4,2,4,3,4,5,,,,,,,,,,,
5,1,5,1,5,1,5,1,5,1,,,,,,,,,,,44.93
4,3,4,3,4,3,4,3,4,4,,,,,,,,,,,34.11
3,3,4,2,4,2,3,2,3,3,,,,,,,,,,,15.43
5,2,4,2,4,2,4,2,4,3,,,,,,,,,,,20.22
5,1,5,1,5,1,5,1,5,1,,,,,,,,,,,
4,2,5,1,4,2,5,2,5,3,,,,,,,,,,,
5,1,4,3,5,1,4,4,4,4,,,,,,,,,,,
3,2,3,2,4,3,2,3,3,3,,,,,,,,,,,13.84
4,3,3,2,4,2,4,2,4,4,,,,,,,,,,,25.98
4,2,4,2,4,2,4,2,4,3,,,,,,,,,,,9.65
5,4,4,4,3,3,4,3,4,5,,,,,,,,,,,
5,2,4,2,4,1,4,2,4,2,,,,,,,,,,,22.29
3,2,3,3,4,2,3,2,2,4,,,,,,,,,,,29.98
5,4,4,5,5,4,4,5,5,5,,,,,,,,,,,
5,2,5,2,4,2,5,2,4,2,,,,,,,,,,,43.25
4,2,4,2,4,2,3,2,4,3,,,,,,,,,,,23.62
2,4,3,3,2,3,2,4,2,2,,,,,,,,,,,20.45
5,2,4,1,5,2,3,2,5,4,,,,,,,,,,,41.8
4,2,5,1,5,2,5,1,5,1,,,,,,,,,,,
5,2,4,3,4,2,3,2,4,4,,,,,,,,,,,29.81
4,2,4,2,4,2,4,2,4,3,,,,,,,,,,,42.67
4,2,4,3,4,2,3,2,4,3,,,,,,,,,,,39.51
4,1,4,2,5,1,4,1,5,3,,,,,,,,,,,
5,2,5,1,5,1,5,1,5,1,,,,,,,,,,,37.49
2,3,2,2,3,2,1,4,3,4,,,,,,,,,,,15.73
3,4,3,3,3,4,3,3,2,4,,,,,,,,,,,38.9
2,4,3,4,5,2,1,3,2,5,,,,,,,,,,,42.32
4,2,4,4,4,2,2,3,4,2,,,,,,,,,,,26.16
3,4,3,4,4,3,2,3,3,5,,,,,,,,,,,39.79
4,4,5,2,4,1,4,2,4,3,,,,,,,,,,,32.12
5,2,4,2,4,1,3,1,3,3,,,,,,,,,,,21.29
5,1,5,2,4,1,4,4,3,2,,,,,,,,,,,
5,2,4,2,4,2,4,1,5,3,,,,,,,,,,,35.03
4,1,4,3,4,1,3,1,4,1,,,,,,,,,,,34.82
4,1,5,1,4,1,4,1,4,2,,,,,,,,,,,
4,2,4,2,3,3,4,3,4,4,,,,,,,,,,,43.89
4,2,5,2,4,2,3,2,4,2,,,,,,,,,,,42.77
4,2,4,3,4,2,4,2,4,3,,,,,,,,,,,
5,2,5,1,4,2,4,1,5,3,,,,,,,,,,,14.18
4,1,4,2,4,1,3,1,4,3,,,,,,,,,,,
4,2,5,5,4,4,5,3,4,4,,,,,,,,,,,
5,1,5,1,5,1,5,1,5,5,,,,,,,,,,,
5,1,5,1,5,1,5,1,5,1,,,,,,,,,,,
4,1,3,2,3,2,2,2,4,2,,,,,,,,,,,
5,2,4,2,5,1,5,1,5,3,,,,,,,,,,,
4,2,4,2,4,2,4,3,4,2,,,,,,,,,,,
4,2,4,4,4,2,4,2,4,3,,,,,,,,,,,
5,1,5,1,5,1,4,1,5,2,,,,,,,,,,,
4,3,5,5,5,2,4,1,5,2,,,,,,,,,,,
5,1,4,1,4,1,2,1,4,3,,,,,,,,,,,
4,1,4,1,5,1,4,1,4,2,,,,,,,,,,,
4,1,5,1,4,2,3,2,4,1,,,,,,,,,,,
4,1,4,1,4,1,4,1,4,2,,,,,,,,,,,
4,2,4,3,4,3,3,4,4,2,,,,,,,,,,,
4,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
4,2,3,2,4,3,2,4,5,5,,,,,,,,,,,
4,3,4,5,3,4,3,4,3,4,,,,,,,,,,,
5,3,4,2,3,2,4,1,5,2,,,,,,,,,,,
3,2,4,3,3,2,4,2,4,3,,,,,,,,,,,
5,3,4,3,4,2,3,2,4,3,,,,,,,,,,,
3,3,3,2,3,1,3,2,3,3,,,,,,,,,,,
4,1,4,3,4,4,5,1,4,3,,,,,,,,,,,
3,2,4,3,4,2,3,2,4,3,,,,,,,,,,,
5,2,4,1,5,3,2,4,5,1,,,,,,,,,,,
4,4,5,5,4,4,5,4,4,5,,,,,,,,,,,
3,3,4,2,4,2,3,2,3,2,,,,,,,,,,,
4,2,5,1,4,1,4,1,5,2,,,,,,,,,,,
4,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
4,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
4,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
3,4,3,3,4,2,3,3,3,4,,,,,,,,,,,
5,1,5,1,5,1,4,1,4,1,,,,,,,,,,,
5,3,4,2,4,1,3,2,5,3,,,,,,,,,,,
5,2,4,2,4,2,4,3,4,2,,,,,,,,,,,
3,3,2,2,3,4,2,3,2,4,,,,,,,,,,,
3,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
4,3,4,5,4,3,3,4,4,4,,,,,,,,,,,
4,2,4,2,4,2,4,2,4,2,,,,,,,,,,,
5,2,4,1,4,2,4,2,5,3,,,,,,,,,,,
5,2,4,2,3,2,5,2,5,3,,,,,,,,,,,
4,2,4,4,4,1,4,1,5,3,,,,,,,,,,,
3,2,3,2,3,1,2,2,3,4,,,,,,,,,,,
4,2,4,3,4,1,4,3,4,3,,,,,,,,,,,
5,1,4,1,5,1,5,1,5,2,,,,,,,,,,,
