seed,stimulus,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8
1886876404,Power BI,5,4,4,5,4,5,4,4
823070095,Tableau,4,6,4,5,3,3,5,2
113523666,Other,7,6,7,6,7,7,7,7
675873429,Other,7,7,7,7,7,7,4,5
886668237,Tableau,5,3,2,4,6,5,1,1
1684659697,Tableau,7,6,7,7,5,6,5,5
853748090,Power BI,5,3,4,5,2,3,1,1
1067977115,Other,3,2,4,3,4,4,5,3
1509533776,Other,7,6,4,6,6,5,5,3
320709478,Power BI,6,5,6,5,5,7,4,3
1619005980,Tableau,6,7,7,6,5,5,7,6
1215486064,Tableau,7,6,6,6,5,7,4,3
381776477,Other,5,2,5,4,6,5,5,5
1436526393,Tableau,5,4,7,5,6,6,7,6
801069651,Tableau,6,4,6,5,6,7,4,4
1452448240,Tableau,5,7,5,6,5,7,4,3
978948372,Tableau,7,6,6,5,6,7,4,1
1205869978,Tableau,6,2,4,3,4,5,6,5
1339673230,Other,5,5,5,5,2,2,2,2
1766729781,Tableau,7,6,6,6,5,5,3,3
1200459716,Other,5,5,4,6,1,1,1,1
2131585415,Power BI,5,5,6,4,4,4,4,4
1294407334,Power BI,4,6,7,6,5,5,5,4
1882719274,Tableau,5,6,6,6,5,5,6,3
997895869,Data Studio,7,6,6,6,6,6,5,4
859134234,Other,3,1,6,4,4,4,1,1
932944878,Power BI,5,5,5,5,5,5,3,3
284370096,Tableau,4,2,5,2,6,6,4,4
2143177834,Other,7,3,7,2,6,6,2,2
1915820641,Power BI,6,3,6,4,6,6,7,5
1525435672,Tableau,4,5,6,3,5,6,7,7
37513846,Other,6,6,5,6,5,6,5,5
1563334965,Tableau,5,5,6,5,6,6,5,4
368349023,Other,6,6,6,5,2,5,2,2
1748214382,Power BI,5,6,7,6,6,6,5,2
716877815,Power BI,6,4,6,6,4,5,6,3
1845262647,Power BI,4,6,6,6,4,4,5,6
1211989598,Power BI,6,4,6,4,5,7,5,5
1335867889,Power BI,6,2,7,3,5,5,6,5
994653189,Tableau,3,2,5,2,5,6,5,5
553357237,Other,7,2,6,6,7,7,7,5
456879119,Power BI,7,7,6,6,6,7,6,6
1122402820,Power BI,7,7,7,7,7,7,7,7
1564399477,Data Studio,7,7,6,7,7,7,6,7
1615005964,Tableau,6,6,6,6,6,6,6,5
1093865409,Power BI,7,7,7,5,6,3,1,5
400273160,Other,7,6,7,7,6,7,4,5
1315070696,Tableau,6,5,7,6,5,3,4,5
874906764,Power BI,7,7,7,7,6,7,7,6
1359875422,Power BI,6,6,6,6,6,6,6,6
1403896802,Power BI,5,6,5,5,4,5,2,2
874843302,Power BI,6,6,6,6,7,7,6,6
900224914,Tableau,7,7,7,7,7,7,7,7
1124991437,Other,7,7,6,6,7,5,3,2
1140281166,Tableau,7,5,7,5,7,6,5,5
1396563841,Power BI,3,3,3,3,4,5,3,4
1883087916,Power BI,6,4,6,2,3,5,6,4
1741448893,Power BI,6,5,6,6,4,5,4,4
688255865,Other,6,5,5,4,6,6,5,6
1318990432,Power BI,6,4,6,5,4,5,5,5
698819494,Power BI,5,3,4,4,5,5,5,6
918544591,Tableau,7,6,7,7,7,7,6,7
553805631,Power BI,7,7,7,7,7,7,7,7
2110824156,Power BI,6,6,6,6,5,5,5,5
1803798191,Power BI,6,5,6,5,6,6,2,6
160325607,Power BI,6,5,7,6,5,6,6,6
596948835,Tableau,6,6,6,7,7,6,6,6
381177351,Power BI,7,4,7,6,7,7,6,4
896039418,Power BI,6,6,7,6,5,6,5,5
1576002137,Power BI,7,6,7,6,6,7,6,6
1089403654,Tableau,6,6,6,6,5,6,6,6
1714315212,Power BI,7,6,7,6,7,7,6,6
457056357,Power BI,4,3,5,4,3,4,2,3
1660664264,Power BI,5,3,3,2,1,2,2,4
1583341806,Power BI,5,4,7,3,6,5,4,6
2136415170,Power BI,7,6,7,6,5,6,6,6
2126977592,Power BI,5,5,6,5,4,5,6,6
85274297,Power BI,7,6,7,7,4,5,5,6
894914305,Power BI,6,5,6,5,7,7,4,5
1930997507,Data Studio,7,7,7,7,7,7,7,7
1530389380,Power BI,6,5,6,6,7,7,7,6
539459298,Power BI,6,5,7,7,7,7,7,5
1647639038,Other,6,7,6,7,4,4,4,4
1654473888,Power BI,6,6,6,7,5,7,6,6
1046282114,Power BI,5,5,5,5,3,3,4,4
1355940705,Data Studio,5,4,6,6,6,6,5,4
7549886,Power BI,7,6,7,6,5,6,4,5
1002747943,Tableau,6,6,7,6,6,6,4,5
1066929673,Other,6,5,6,7,1,6,6,4
529791368,Other,7,7,7,7,7,7,1,1
1815598325,Tableau,7,7,7,7,6,7,7,7
248908595,Data Studio,5,4,6,5,5,7,5,5
600413626,Tableau,7,6,7,7,7,7,7,7
1486961530,Data Studio,6,6,6,7,4,6,6,3
1200836915,Tableau,5,5,5,3,5,6,4,5
1090871892,Other,7,7,7,7,7,7,7,7
865186315,Data Studio,7,7,6,7,6,6,6,5
974692653,Tableau,5,6,6,5,5,7,6,5
1788360479,Data Studio,6,6,7,6,5,4,4,5
1870707804,Other,6,6,6,7,5,5,5,2
126901897,Tableau,6,6,6,6,7,7,5,6
796883701,Tableau,6,6,7,6,7,7,6,7
435668131,Tableau,6,5,6,6,5,6,5,5
