=== RELIABILITY SUMMARY OVERVIEW ===
"Scale_Or_Dimension","Items_Evaluated","Items_Count","Raw_Cronbach_Alpha","Std_Cronbach_Alpha","McDonald_Omega_Total"
"SUS (System Usability Scale)","SUS_1 - SUS_10",10,0.846,0.851,0.852
"UEQ-S Pragmatic Quality (PQ)","UEQ_1 - UEQ_4",4,0.835,0.839,0.842
"UEQ-S Hedonic Quality (HQ)","UEQ_5 - UEQ_8",4,0.815,0.82,0.82
"UEQ-S Overall","UEQ_1 - UEQ_8",8,0.842,0.851,0.89

=== ITEM-LEVEL DIAGNOSTICS (ALPHA IF DROPPED) ===
"Scale_Or_Dimension","Item","Raw_Alpha_If_Dropped","Std_Alpha_If_Dropped"
"SUS (System Usability Scale)","SUS_1",0.841,0.845
"SUS (System Usability Scale)","SUS_2",0.827,0.834
"SUS (System Usability Scale)","SUS_3",0.831,0.836
"SUS (System Usability Scale)","SUS_4",0.841,0.845
"SUS (System Usability Scale)","SUS_5",0.841,0.845
"SUS (System Usability Scale)","SUS_6",0.831,0.837
"SUS (System Usability Scale)","SUS_7",0.827,0.833
"SUS (System Usability Scale)","SUS_8",0.819,0.827
"SUS (System Usability Scale)","SUS_9",0.824,0.828
"SUS (System Usability Scale)","SUS_10",0.832,0.838
"UEQ-S Pragmatic Quality (PQ)","UEQ_1",0.806,0.806
"UEQ-S Pragmatic Quality (PQ)","UEQ_2",0.77,0.78
"UEQ-S Pragmatic Quality (PQ)","UEQ_3",0.824,0.827
"UEQ-S Pragmatic Quality (PQ)","UEQ_4",0.75,0.77
"UEQ-S Hedonic Quality (HQ)","UEQ_5",0.78,0.78
"UEQ-S Hedonic Quality (HQ)","UEQ_6",0.761,0.758
"UEQ-S Hedonic Quality (HQ)","UEQ_7",0.768,0.781
"UEQ-S Hedonic Quality (HQ)","UEQ_8",0.761,0.775
