seed,stimulus,P026,P088,P4026A,P902,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
1886876404,Power BI,6,5,5,2,7,5,6,7,6,7,6,6,6,6,5,4,4,5,4,5,4,4,4,2,3,1,4,3,3,3,4,4
823070095,Tableau,7,7,6,2,6,7,5,5,5,3,7,6,5,6,4,6,4,5,3,3,5,2,3,2,4,1,4,2,4,3,4,2
113523666,JMP,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,5,1,5,1,4,1,4,1,5,3
675873429,Qlik,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,5,1,5,1,5,1,5,1,5,3
886668237,Tableau,3,6,6,2,7,4,6,6,6,6,6,2,3,6,5,3,2,4,6,5,1,1,4,3,3,2,4,2,3,2,5,3
1684659697,Tableau,7,7,7,2,7,7,6,7,7,6,7,7,7,7,7,6,7,7,5,6,5,5,5,2,5,1,4,1,3,1,5,1
1067977115,Superset,3,4,3,2,5,5,6,4,6,6,5,4,5,5,3,2,4,3,4,4,5,3,2,3,4,2,4,2,2,3,2,2
320709478,Power BI,4,5,5,2,7,3,5,6,6,6,4,6,6,7,6,5,6,5,5,7,4,3,5,2,3,2,4,2,3,2,4,1
1619005980,Tableau,7,7,7,2,6,4,6,6,7,6,7,6,6,7,6,7,7,6,5,5,7,6,5,2,4,3,5,1,3,2,4,3
1215486064,Tableau,7,7,7,2,6,5,7,6,7,7,6,7,5,6,7,6,6,6,5,7,4,3,3,2,4,2,4,2,4,1,4,3
381776477,Gephi,7,6,5,2,7,4,6,6,7,6,5,6,6,6,5,2,5,4,6,5,5,5,3,2,4,2,5,3,2,3,4,3
1436526393,Tableau,3,5,4,2,6,5,6,7,6,5,5,7,7,7,5,4,7,5,6,6,7,6,4,1,3,1,5,2,3,2,4,5
801069651,Tableau,6,6,6,2,7,6,7,7,6,7,7,7,7,7,6,4,6,5,6,7,4,4,4,1,4,1,4,1,3,2,4,3
1452448240,Tableau,6,6,6,2,6,7,7,6,7,7,5,6,7,5,5,7,5,6,5,7,4,3,2,1,5,1,4,1,4,2,4,1
978948372,Tableau,3,6,6,2,7,6,6,6,6,6,7,7,7,7,7,6,6,5,6,7,4,1,4,1,4,2,5,2,3,1,4,3
1205869978,Tableau,6,2,3,2,7,3,6,5,7,6,4,6,5,6,6,2,4,3,4,5,6,5,3,4,2,4,3,2,1,4,2,4
1339673230,NVivo/SPSS,5,6,5,2,4,7,5,7,4,7,7,7,3,7,5,5,5,5,2,2,2,2,3,2,4,1,4,2,4,2,4,2
1766729781,Tableau,5,6,4,2,6,6,6,6,7,7,7,6,6,7,7,6,6,6,5,5,3,3,3,2,4,1,4,1,4,1,4,3
1200459716,Excel,6,6,6,2,6,6,6,6,6,6,5,4,5,6,5,5,4,6,1,1,1,1,2,3,4,1,4,2,4,2,4,3
2131585415,Power BI,3,5,3,2,5,5,6,5,6,6,5,2,2,5,5,5,6,4,4,4,4,4,3,3,3,4,4,3,3,3,4,2
1294407334,Power BI,6,6,6,2,6,7,6,6,6,6,6,7,7,6,4,6,7,6,5,5,5,4,5,1,4,1,4,2,4,1,4,2
1882719274,Tableau,6,6,6,2,6,5,6,6,5,6,5,5,4,5,5,6,6,6,5,5,6,3,2,2,4,3,3,3,4,1,4,2
997895869,Data Studio,7,6,6,2,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,5,4,5,5,5,5,5,3,3,3,5,5
859134234,Excel,1,2,7,2,7,3,6,7,6,6,6,5,4,7,3,1,6,4,4,4,1,1,5,2,2,4,5,1,2,3,3,5
