item1,item2,r,group1,group2,within_construct,p,n
P064,P301,0.396320233,Cognitive_value,Cognitive_value,TRUE,7.64278654578016e-10,224
P060,P064,0.564632335,Cognitive_value,Cognitive_value,TRUE,2.91917428015139e-20,224
P060,P301,0.523502658,Cognitive_value,Cognitive_value,TRUE,3.67005602808353e-17,224
P027,P064,0.355726566,Cognitive_value,Cognitive_value,TRUE,4.39104490144597e-08,224
P027,P301,0.634998151,Cognitive_value,Cognitive_value,TRUE,1.09105504754391e-26,224
P027,P060,0.481096582,Cognitive_value,Cognitive_value,TRUE,2.23452485869453e-14,224
P064,P088,0.304139181,Cognitive_value,Intuitiveness,FALSE,3.53870513682941e-06,224
P064,P4026A,0.311654249,Cognitive_value,Intuitiveness,FALSE,1.96165907335289e-06,224
P301,P4026A,0.295601253,Cognitive_value,Intuitiveness,FALSE,6.78317102098427e-06,224
P060,P088,0.501321839,Cognitive_value,Intuitiveness,FALSE,1.17276727411951e-15,224
P060,P4026A,0.499632381,Cognitive_value,Intuitiveness,FALSE,1.51144624886631e-15,224
P027,P088,0.485712191,Cognitive_value,Intuitiveness,FALSE,1.16002699136586e-14,224
P027,P4026A,0.411601577,Cognitive_value,Intuitiveness,FALSE,1.4333186000889e-10,224
P064,SUS_1,0.455703936,Cognitive_value,SUS,FALSE,6.93902923373053e-13,224
P064,SUS_2,0.242503647,Cognitive_value,SUS,FALSE,0.000248307,224
P064,SUS_3,0.308446097,Cognitive_value,SUS,FALSE,2.52853219588307e-06,224
P064,SUS_4,0.076023949,Cognitive_value,SUS,FALSE,0.257173498,224
P064,SUS_5,0.260887085,Cognitive_value,SUS,FALSE,7.76947993447441e-05,224
P064,SUS_6,0.033587754,Cognitive_value,SUS,FALSE,0.617058084,224
P064,SUS_7,0.158566419,Cognitive_value,SUS,FALSE,0.01755025,224
P064,SUS_8,0.095690596,Cognitive_value,SUS,FALSE,0.153455777,224
P064,SUS_9,0.248051159,Cognitive_value,SUS,FALSE,0.00017648,224
P064,SUS_10,-0.002228455,Cognitive_value,SUS,FALSE,0.973542286,224
P301,SUS_1,0.545433672,Cognitive_value,SUS,FALSE,9.22476351794869e-19,224
P301,SUS_2,0.224021545,Cognitive_value,SUS,FALSE,0.000732508,224
P301,SUS_3,0.233620955,Cognitive_value,SUS,FALSE,0.000422089,224
P301,SUS_4,0.239563795,Cognitive_value,SUS,FALSE,0.000296622,224
P301,SUS_5,0.322678199,Cognitive_value,SUS,FALSE,8.01381822104292e-07,224
P301,SUS_6,0.240133882,Cognitive_value,SUS,FALSE,0.000286618,224
P301,SUS_7,0.21457333,Cognitive_value,SUS,FALSE,0.001232755,224
P301,SUS_8,0.091557428,Cognitive_value,SUS,FALSE,0.172093005,224
P301,SUS_9,0.35712812,Cognitive_value,SUS,FALSE,3.85294157273355e-08,224
P301,SUS_10,0.111881741,Cognitive_value,SUS,FALSE,0.094845663,224
P060,SUS_1,0.462653215,Cognitive_value,SUS,FALSE,2.78693408022881e-13,224
P060,SUS_2,0.318515828,Cognitive_value,SUS,FALSE,1.1283932763338e-06,224
P060,SUS_3,0.333292907,Cognitive_value,SUS,FALSE,3.27072757351694e-07,224
P060,SUS_4,0.146495523,Cognitive_value,SUS,FALSE,0.028371013,224
P060,SUS_5,0.206296167,Cognitive_value,SUS,FALSE,0.001910921,224
