"","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","SUS_9","SUS_10","UEQ_1","UEQ_2","UEQ_3","UEQ_4","UEQ_5","UEQ_6","UEQ_7","UEQ_8","P064","P301","P060","P027","P088","P026","P4026A","P106","P089","P098","P097","P022A","P067"
"SUS_1",1,0.320041639786479,0.411078393253132,0.24409259856989,0.420588773579154,0.279415860140892,0.391970046260806,0.228891721884363,0.606701373999373,0.186155542738694,0.576870919266031,0.390835966751763,0.608162440383426,0.447885547979794,0.446215289526853,0.481929904692573,0.336397690625002,0.343220943991404,0.485289360919438,0.536037572279334,0.469152741818207,0.511775947481621,0.474999592198391,0.38128787101347,0.410495118923985,0.30671271812298,0.326090116025681,0.341702259350428,0.482787311743574,0.413171414868574,0.291409172878285
"SUS_2",0.320041639786479,1,0.335173974089765,0.511975087205015,0.39985328465389,0.565951566558296,0.398305932870535,0.52295760050679,0.38447408181509,0.446056725075656,0.301375720213468,0.478315144469945,0.30673964581219,0.53853833622456,0.286501465286479,0.261105497705806,0.169845445905107,0.154247479685158,0.221189127532912,0.195179670205414,0.293050476096606,0.375542616769196,0.534580481435061,0.408946861635496,0.395770943582924,0.275010105414742,0.312218935167911,0.221256278241823,0.147293261746836,0.296056715849356,0.276939750488466
"SUS_3",0.411078393253132,0.335173974089765,1,0.22154698514798,0.353931951613009,0.154137537675614,0.504060555964176,0.308490886298385,0.533077053352788,0.359720465789712,0.450069681533235,0.60338263760717,0.363505134038182,0.552762907730644,0.187321124957113,0.224863860891708,0.269482943883951,0.264589627078007,0.322362068990583,0.24471680538703,0.351491766410554,0.392967642678231,0.532194864011948,0.462480124899929,0.426407631735127,0.261058993841427,0.289741258726821,0.338040359248473,0.256972786440708,0.218101333391074,0.36495606738407
"SUS_4",0.24409259856989,0.511975087205015,0.22154698514798,1,0.191778937920663,0.530815589860781,0.183628389840922,0.573822988905317,0.315831128894221,0.502508775712239,0.12114623966514,0.281143196331362,0.13572208748375,0.292681030536231,0.100973290098724,0.0900165530256414,-0.0192185709332804,-0.102325338926092,0.0950059389483469,0.232715620035261,0.162449984184392,0.218968048436802,0.347473364818255,0.207206309227993,0.2474944215634,0.313477783000421,0.215199942199973,0.256401336813428,0.240901867521808,0.230399910872332,0.237542248171718
"SUS_5",0.420588773579154,0.39985328465389,0.353931951613009,0.191778937920663,1,0.346587734205042,0.244373859466287,0.284689239182511,0.464154775669117,0.230007442182071,0.311223540954653,0.290808118854499,0.392663004561169,0.357985929036944,0.366262002520597,0.26543029008542,0.29698474113856,0.266865270395323,0.271749122716793,0.350583468039002,0.233133287710827,0.375375231218331,0.354704252894762,0.236982830677289,0.373139538502162,0.353135950024869,0.310451786308519,0.267496377330468,0.332229637574112,0.273811458020569,0.312003262363989
"SUS_6",0.279415860140892,0.565951566558296,0.154137537675614,0.530815589860781,0.346587734205042,1,0.138745847700424,0.604473730363336,0.275747296211959,0.339593755891352,0.294443274085381,0.230385429612199,0.349883275965827,0.242748642478297,0.163274671062084,0.154142552780458,0.0661583395697225,0.0132854647252948,0.0265320093538423,0.223265694148908,0.11328819399637,0.342989133632341,0.287305858506435,0.181676879817198,0.279401754161781,0.430923233006445,0.184654249170322,0.291863126201911,0.233775740710209,0.280610847593361,0.169072127322478
"SUS_7",0.391970046260806,0.398305932870535,0.504060555964176,0.183628389840922,0.244373859466287,0.138745847700424,1,0.328230287896669,0.580721384520154,0.360652671500572,0.455520908443757,0.681770171911088,0.371751314407505,0.649142567291529,0.286502114219348,0.253066965525087,0.262776506350982,0.144367252148661,0.194018250549643,0.224327289888257,0.215317123553514,0.28822493818059,0.589139886300578,0.545234274361803,0.441020125255476,0.150083296370466,0.272758094336344,0.11271015306521,0.192025093335077,0.231732042639583,0.305087047318651
"SUS_8",0.228891721884363,0.52295760050679,0.308490886298385,0.573822988905317,0.284689239182511,0.604473730363336,0.328230287896669,1,0.324122466597628,0.430565613455095,0.249373431764713,0.31126559726318,0.199807811651676,0.324318338029996,0.109228149311116,0.114212168077617,0.120385068296115,-0.0591823479590148,0.0924159797691982,0.0843045253403887,0.113606612414812,0.162532141511251,0.332933137348826,0.266228742803411,0.300349427679793,0.318198669432014,0.136113198481365,0.22528141023309,0.0729588089225231,0.23085712754295,0.188983376018739
"SUS_9",0.606701373999373,0.38447408181509,0.533077053352788,0.315831128894221,0.464154775669117,0.275747296211959,0.580721384520154,0.324122466597628,1,0.335690923856558,0.516133922161928,0.574279461162655,0.404949281850962,0.601209253849072,0.368368343685095,0.357499142550952,0.314653747619914,0.272786068027311,0.252128624392928,0.37608420750507,0.380958662450349,0.407836157652042,0.681282942163106,0.484990750255439,0.521441805166291,0.307754336943015,0.400242210915272,0.208188168928953,0.341275440565595,0.429682134545736,0.335469343120091
"SUS_10",0.186155542738694,0.446056725075656,0.359720465789712,0.502508775712239,0.230007442182071,0.339593755891352,0.360652671500572,0.430565613455095,0.335690923856558,1,0.245749693801477,0.483390221554761,0.112569582597545,0.462434618509506,0.202104955969517,0.219265235191242,0.161894039950836,0.0802204916559418,0.0153661836323884,0.117071822877477,0.197683288415221,0.13952644713916,0.402572414175255,0.276538940552719,0.238949232759779,0.185195785030983,0.238583233493301,0.189119442942908,0.0381674485525283,0.101254521347149,0.167340797988127
"UEQ_1",0.576870919266031,0.301375720213468,0.450069681533235,0.12114623966514,0.311223540954653,0.294443274085381,0.455520908443757,0.249373431764713,0.516133922161928,0.245749693801477,1,0.595830126583865,0.603874407003236,0.592077083935597,0.536358395846488,0.501804278974926,0.347709104962312,0.30732243370793,0.370501486475077,0.481810212354622,0.458981564759994,0.497589362600973,0.550405235206241,0.474077931243369,0.424312231691564,0.386251042234611,0.430475382515499,0.45550283427423,0.40759490286169,0.374747097571463,0.394406418980293
"UEQ_2",0.390835966751763,0.478315144469945,0.60338263760717,0.281143196331362,0.290808118854499,0.230385429612199,0.681770171911088,0.31126559726318,0.574279461162655,0.483390221554761,0.595830126583865,1,0.4857597030533,0.787992118729129,0.40625042554293,0.349985339482841,0.322135726648426,0.281144229489872,0.210990574682922,0.26459040977465,0.397996565752837,0.431048212949623,0.734023233960246,0.607543829634137,0.495578919256621,0.24197300629872,0.367279101170944,0.258317592022533,0.22755838860096,0.296341537835457,0.360602036786512
"UEQ_3",0.608162440383426,0.30673964581219,0.363505134038182,0.13572208748375,0.392663004561169,0.349883275965827,0.371751314407505,0.199807811651676,0.404949281850962,0.112569582597545,0.603874407003236,0.4857597030533,1,0.527082301427332,0.469638650751851,0.441437402316153,0.392443275277856,0.374734656456739,0.349087313646692,0.506920784825887,0.416175908575917,0.526976573389942,0.406332298206019,0.405237018517402,0.361290237268072,0.339295785065233,0.363565809254944,0.401014899386636,0.476069302130311,0.33745068375882,0.373934691182382
"UEQ_4",0.447885547979794,0.53853833622456,0.552762907730644,0.292681030536231,0.357985929036944,0.242748642478297,0.649142567291529,0.324318338029996,0.601209253849072,0.462434618509506,0.592077083935597,0.787992118729129,0.527082301427332,1,0.459521119158119,0.43913811687839,0.39295373806703,0.301186978151411,0.243582359977397,0.341783179422228,0.435216009446205,0.392475106601207,0.74695513371246,0.637721494192706,0.582828767139715,0.227821197510124,0.456358650601851,0.185213157255956,0.202649562632348,0.282394762707546,0.381045496428145
"UEQ_5",0.446215289526853,0.286501465286479,0.187321124957113,0.100973290098724,0.366262002520597,0.163274671062084,0.286502114219348,0.109228149311116,0.368368343685095,0.202104955969517,0.536358395846488,0.40625042554293,0.469638650751851,0.459521119158119,1,0.76965743143605,0.52259728699486,0.535894708159664,0.472978348755328,0.370961868957411,0.511425982071397,0.382761636478836,0.404763758660264,0.355352258155816,0.388014157304129,0.0543017379762641,0.256964616589261,0.211461943422807,0.297477374298216,0.230161731325149,0.304574972163888
"UEQ_6",0.481929904692573,0.261105497705806,0.224863860891708,0.0900165530256414,0.26543029008542,0.154142552780458,0.253066965525087,0.114212168077617,0.357499142550952,0.219265235191242,0.501804278974926,0.349985339482841,0.441437402316153,0.43913811687839,0.76965743143605,1,0.558808697909723,0.566239514008738,0.539158585728229,0.278789270441756,0.542594840074266,0.312726078391594,0.344952366689296,0.311925698715367,0.322180811098025,0.137508665998511,0.344083898811138,0.225649064172266,0.337297983830186,0.219948399519295,0.360018303978187
"UEQ_7",0.336397690625002,0.169845445905107,0.269482943883951,-0.0192185709332804,0.29698474113856,0.0661583395697225,0.262776506350982,0.120385068296115,0.314653747619914,0.161894039950836,0.347709104962312,0.322135726648426,0.392443275277856,0.39295373806703,0.52259728699486,0.558808697909723,1,0.699903704419431,0.40376794874786,0.227554697167853,0.465912981754651,0.242510396797897,0.275807539870733,0.283598489439587,0.202273495626148,-0.0192952822422581,0.156415089598255,0.16141051496865,0.152040893382697,0.0836689482440716,0.272061554416191
"UEQ_8",0.343220943991404,0.154247479685158,0.264589627078007,-0.102325338926092,0.266865270395323,0.0132854647252948,0.144367252148661,-0.0591823479590148,0.272786068027311,0.0802204916559418,0.30732243370793,0.281144229489872,0.374734656456739,0.301186978151411,0.535894708159664,0.566239514008738,0.699903704419431,1,0.418311793927891,0.193276929206525,0.468802553861104,0.261753588127734,0.265935011779207,0.285840043328883,0.20386341697808,0.0586085016970149,0.16057712248944,0.23134319021165,0.181983290666153,0.0334169193882388,0.265276798041917
"P064",0.485289360919438,0.221189127532912,0.322362068990583,0.0950059389483469,0.271749122716793,0.0265320093538423,0.194018250549643,0.0924159797691982,0.252128624392928,0.0153661836323884,0.370501486475077,0.210990574682922,0.349087313646692,0.243582359977397,0.472978348755328,0.539158585728229,0.40376794874786,0.418311793927891,1,0.408209581059384,0.58921080634416,0.357001668485693,0.299922433440712,0.303739038388553,0.281840434012901,0.176076185350552,0.342405812753075,0.378980170436209,0.427115233250773,0.277014795768733,0.436121447400506
