id,seed,stimulus,P026,P088,P4026A,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
14,1886876404,Power BI,6,5,5,7,5,6,7,6,7,6,6,6,6,5,4,4,5,4,5,4,4,4,2,3,1,4,3,3,3,4,4
18,823070095,Tableau,7,7,6,6,7,5,5,5,5,7,6,5,6,4,6,4,5,3,3,5,2,3,2,4,1,4,2,4,3,4,2
23,113523666,JMP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,5,1,5,1,4,1,4,1,5,3
24,675873429,Qlik,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,5,1,5,1,5,1,5,1,5,3
25,886668237,Tableau,3,6,6,7,4,6,6,6,6,6,3,3,6,5,3,2,4,6,5,1,1,4,3,3,2,4,2,3,2,5,3
26,1684659697,Tableau,7,7,7,7,7,6,7,7,6,7,7,7,7,7,6,7,7,5,6,5,5,5,2,5,1,4,1,3,1,5,1
28,853748090,Power BI,5,3,5,5,4,4,4,6,NA,4,3,3,5,5,3,4,5,2,3,1,1,2,1,2,4,2,3,2,3,2,5
11,1067977115,Superset,3,4,3,5,5,6,4,6,6,5,4,5,5,3,2,4,3,4,4,5,3,2,3,4,2,4,2,2,3,2,2
16,1509533776,AnGraVis,5,7,7,7,3,6,5,6,7,NA,6,4,7,7,6,4,6,6,5,5,3,2,1,4,4,5,1,3,1,5,2
17,320709478,Power BI,4,5,5,7,3,5,6,6,6,4,6,6,7,6,5,6,5,5,7,4,3,5,2,3,2,4,2,3,2,4,1
21,1619005980,Tableau,7,7,7,6,4,6,6,7,6,7,6,6,7,6,7,7,6,5,5,7,6,5,2,4,3,5,1,3,2,4,3
22,1215486064,Tableau,7,7,7,6,5,7,6,7,7,6,7,5,6,7,6,6,6,5,7,4,3,3,2,4,2,4,2,4,1,4,3
