"item1","item2","r","group1","group2","within_construct","p"
"P064","P301",0.396320232550866,"Cognitive_value","Cognitive_value",TRUE,NA
"P060","P064",0.564632335133058,"Cognitive_value","Cognitive_value",TRUE,NA
"P060","P301",0.523502658083092,"Cognitive_value","Cognitive_value",TRUE,NA
"P027","P064",0.35572656588028,"Cognitive_value","Cognitive_value",TRUE,NA
"P027","P301",0.634998151264717,"Cognitive_value","Cognitive_value",TRUE,NA
"P027","P060",0.481096581664235,"Cognitive_value","Cognitive_value",TRUE,NA
"P064","P088",0.304139180786028,"Cognitive_value","Intuitiveness",FALSE,NA
"P064","P4026A",0.311654249170361,"Cognitive_value","Intuitiveness",FALSE,NA
"P301","P4026A",0.295601252728966,"Cognitive_value","Intuitiveness",FALSE,NA
"P060","P088",0.50132183922887,"Cognitive_value","Intuitiveness",FALSE,NA
"P060","P4026A",0.499632380686312,"Cognitive_value","Intuitiveness",FALSE,NA
"P027","P088",0.485712191079058,"Cognitive_value","Intuitiveness",FALSE,NA
"P027","P4026A",0.41160157676254,"Cognitive_value","Intuitiveness",FALSE,NA
"P064","SUS_1",0.455703935901062,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_2",0.242503646780183,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_3",0.30844609654652,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_4",0.0760239486310922,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_5",0.260887085302136,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_6",0.0335877535979696,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_7",0.158566419212073,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_8",0.0956905961437273,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_9",0.248051159311844,"Cognitive_value","SUS",FALSE,NA
"P064","SUS_10",-0.00222845519190145,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_1",0.545433671812993,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_2",0.224021545092517,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_3",0.233620954613796,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_4",0.239563794956268,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_5",0.322678198867813,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_6",0.240133881506961,"Cognitive_value","SUS",FALSE,NA
