"","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","SUS_9","SUS_10","UEQ_1","UEQ_2","UEQ_3","UEQ_4","UEQ_5","UEQ_6","UEQ_7","UEQ_8","P064","P301","P060","P027","P088","P026","P4026A","P106","P089","P098","P097","P022A","P067"
"SUS_1",NA,1.22822139884425e-07,2.41642261709077e-10,0.00107805214313989,1.8218743762107e-12,9.66196038438732e-06,3.61358134994631e-09,0.000333542355645409,2.63073074915859e-26,0.0067572761761141,1.82383672988019e-23,1.41331376056711e-09,1.11239558247257e-22,2.84224503145028e-13,2.57357318905789e-13,9.95454769893092e-15,2.96720117284454e-07,1.80753856972948e-07,6.93902923373053e-13,9.22476351794869e-19,2.78693408022881e-13,7.79680169241441e-16,3.338281347081e-14,1.11932053666804e-08,1.38832315149767e-12,8.60631251319102e-08,2.72476331461121e-06,6.13922428651124e-08,5.43065073178848e-14,4.10952151166026e-11,7.25055684453595e-05
"SUS_2",1.22822139884425e-07,NA,5.60966438015781e-08,8.23342474570928e-19,1.33730722927441e-11,3.14535788449057e-20,1.82046630112982e-11,1.7504325945819e-16,9.8401545809236e-11,1.82292399446139e-14,4.60858795940897e-06,1.82720895328269e-15,5.10456317069784e-07,3.85485381610328e-18,1.8866360296766e-06,3.26909090692175e-06,0.00817605038086865,0.0122375902438151,0.000248307490149808,0.000732508471926328,1.1283932763338e-06,6.79955025846968e-11,5.26887508969433e-18,6.76535491214423e-11,4.63569794328133e-10,0.000146622742800649,3.38714007801102e-08,0.000312614349282581,0.00224627808200512,1.76407023301703e-05,1.28976729099741e-05
"SUS_3",2.41642261709077e-10,5.60966438015781e-08,NA,0.00140435638849174,8.87090062117419e-08,0.0241284316178331,9.35908793596367e-16,3.22389176549412e-06,9.15094816131575e-18,9.24486964939446e-08,1.19654559655898e-12,3.10691163369508e-23,3.39766847318908e-08,1.69856371009551e-19,0.00784476336591221,0.0011412436851711,0.000141349262444711,0.00013783224975186,2.52853219588307e-06,0.000422089320708985,3.27072757351694e-07,2.90514275751404e-09,2.59629099167915e-16,8.67550875574587e-13,3.10361415097881e-11,7.32847247223212e-05,1.33773150072057e-05,2.08975821825019e-07,0.000248849939700701,0.00143494516527593,7.9793017169263e-08
"SUS_4",0.00107805214313989,8.23342474570928e-19,0.00140435638849174,NA,0.00229526126517096,3.98873790900149e-18,0.00935649964469246,2.5676828651712e-22,1.95003528659495e-06,3.33095476533613e-16,0.100439879426131,6.1607121521951e-05,0.107690331631796,1.33817631395892e-05,0.148168078542606,0.214917187296395,0.497935333040232,0.0355428624714905,0.257173497679548,0.000296621639168097,0.0283710128590891,0.00242649935387896,1.21033017099081e-07,0.00347530096803445,0.000180341909135854,1.76872457451576e-06,0.00214150787274144,0.000196620605742929,0.000385232994950885,0.000534691780202921,0.00198926003109744
"SUS_5",1.8218743762107e-12,1.33730722927441e-11,8.87090062117419e-08,0.00229526126517096,NA,1.74446938899801e-08,0.000175310151081391,1.97343123165333e-05,2.49016493818708e-13,0.00173803990628923,3.05716679509449e-06,1.24045655872228e-05,7.27633781574188e-11,1.85189824013943e-08,4.12563563407728e-07,0.000306874516432286,8.56576491619116e-05,0.000172255738046974,7.76947993447441e-05,8.01381822104292e-07,0.00191092098638811,4.62132027106345e-09,1.73499692200022e-06,0.000574675903221242,2.92957056601818e-08,5.3296881383604e-08,6.31761669055292e-07,2.34469994611459e-05,3.41163090074286e-06,3.90413908300305e-05,1.05880814281274e-06
"SUS_6",9.66196038438732e-06,3.14535788449057e-20,0.0241284316178331,3.98873790900149e-18,1.74446938899801e-08,NA,0.0256667060006545,3.64973761276554e-23,7.02327825508305e-05,2.34216241402648e-07,1.03398509998171e-05,0.000911832599543103,2.20499776593622e-08,0.0001711090222716,0.00893344415274386,0.00779686371280459,0.452383065768129,0.922382121761673,0.617058083794967,0.000286618357440483,0.0585061892330589,9.0904931221697e-07,7.46720250473407e-05,0.0175265547819969,4.72852394760096e-05,3.33999023925453e-11,0.0193453248704956,1.60455797431706e-05,8.04302836215419e-05,0.000247452159473706,0.017583790643442
"SUS_7",3.61358134994631e-09,1.82046630112982e-11,9.35908793596367e-16,0.00935649964469246,0.000175310151081391,0.0256667060006545,NA,4.35910044968626e-07,1.99587476482963e-22,4.55337499625702e-08,4.71837880574973e-13,1.62075045227687e-31,3.07229207048324e-08,8.47124571445393e-28,1.53264380263372e-05,0.000208614721213731,0.00020505871994655,0.0541377355405722,0.0175502495978593,0.00123275509939824,0.004619101778112,1.98041846238464e-05,2.41984590379953e-20,1.40984650678366e-17,5.29506302774045e-12,0.0201081377397469,4.24691131713386e-05,0.0955396138678774,0.00902232525112246,0.000603325286552428,2.33586143106316e-05
"SUS_8",0.000333542355645409,1.7504325945819e-16,3.22389176549412e-06,2.5676828651712e-22,1.97343123165333e-05,3.64973761276554e-23,4.35910044968626e-07,NA,8.12407758819488e-07,4.76946600388759e-12,0.000323500364994717,3.07398579422935e-06,0.00169130016989746,8.08235923769047e-07,0.105247905108944,0.0539147639621412,0.100453185999065,0.353528226542877,0.15345577708329,0.172093005473154,0.0834825258992665,0.0103072108038055,8.6182477312026e-07,4.93153578155421e-05,3.95406416421092e-06,2.10100453830713e-06,0.0308852396949866,0.000253265649579592,0.168260647199712,0.0004835507190456,0.00443482296059932
"SUS_9",2.63073074915859e-26,9.8401545809236e-11,9.15094816131575e-18,1.95003528659495e-06,2.49016493818708e-13,7.02327825508305e-05,1.99587476482963e-22,8.12407758819488e-07,NA,2.27915526301272e-06,5.34429520518527e-16,6.59341778841058e-20,5.55519656728104e-11,4.57648522899432e-24,1.64450569900378e-08,3.30030323508677e-08,6.94219290693597e-06,0.000104705589594246,0.000176479587535978,3.85294157273355e-08,2.28267924010793e-08,7.73152589495571e-09,9.27179180255219e-29,5.03395152602352e-14,1.04656011788424e-15,2.83633885118348e-06,7.84365610599314e-09,0.00318921189416399,2.18745714019809e-07,4.68048928815622e-10,3.85082961747827e-07
"SUS_10",0.0067572761761141,1.82292399446139e-14,9.24486964939446e-08,3.33095476533613e-16,0.00173803990628923,2.34216241402648e-07,4.55337499625702e-08,4.76946600388759e-12,2.27915526301272e-06,NA,0.00141443865793269,6.54298065816548e-13,0.113455700047992,1.3871486188688e-12,0.00797059419649926,0.00241209334354539,0.0745217329865135,0.565577233892263,0.973542286322769,0.0948456625784871,0.0063555381446152,0.0782550476909455,7.05285004935315e-09,7.16385667727638e-05,0.00193009839225849,0.00628184048991272,0.000666967938130356,0.00498131133994829,0.785386162643533,0.204072339132063,0.0391620452541607
"UEQ_1",1.82383672988019e-23,4.60858795940897e-06,1.19654559655898e-12,0.100439879426131,3.05716679509449e-06,1.03398509998171e-05,4.71837880574973e-13,0.000323500364994717,5.34429520518527e-16,0.00141443865793269,NA,1.25781722105368e-22,6.25598607359085e-26,3.82461293155014e-23,1.77898299044102e-18,7.44940384236309e-16,6.61758261904861e-08,1.01947438434448e-06,6.23358882223498e-09,1.30838164911158e-13,8.24895600297228e-13,3.03548811866925e-14,2.03050632145248e-17,4.07554067707704e-13,1.18775456760506e-10,1.6025131935291e-09,6.92427943405797e-11,2.33611745752684e-12,3.36327926544333e-10,2.38127583237338e-08,3.4853025012891e-10
"UEQ_2",1.41331376056711e-09,1.82720895328269e-15,3.10691163369508e-23,6.1607121521951e-05,1.24045655872228e-05,0.000911832599543103,1.62075045227687e-31,3.07398579422935e-06,6.59341778841058e-20,6.54298065816548e-13,1.25781722105368e-22,NA,9.24546361325689e-15,9.57799062770255e-49,1.79939158263804e-10,1.1234916163363e-07,8.0702065856851e-07,2.52785103039652e-05,0.0025316207605788,0.000386326171791796,6.37148721262906e-09,3.70127096948849e-10,1.66953180810214e-37,9.41526778845663e-24,6.70251597913239e-15,0.000386551746603811,1.74487645311878e-07,0.000335711829104765,0.00120658475874364,2.30079565370323e-05,4.70897768939107e-08
"UEQ_3",1.11239558247257e-22,5.10456317069784e-07,3.39766847318908e-08,0.107690331631796,7.27633781574188e-11,2.20499776593622e-08,3.07229207048324e-08,0.00169130016989746,5.55519656728104e-11,0.113455700047992,6.25598607359085e-26,9.24546361325689e-15,NA,2.05425742340401e-18,9.18036987213188e-15,2.59082156337495e-12,1.52114695206678e-09,9.43411664585176e-09,1.95297226839736e-06,1.06922143167277e-15,3.06485200108222e-10,5.46876822917366e-17,2.19783099157483e-10,1.51628394252093e-09,6.58844852070229e-10,4.63969523825815e-09,8.87972214665821e-08,9.60660071346083e-11,1.31405516393967e-13,9.33978996736847e-08,8.99461714232416e-08
