"","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","SUS_9","SUS_10","UEQ_1","UEQ_2","UEQ_3","UEQ_4","UEQ_5","UEQ_6","UEQ_7","UEQ_8","P064","P301","P060","P027","P088","P026","P4026A","P106","P089","P098","P097","P022A","P067"
"SUS_1",1,0.344455100052798,0.406915678096082,0.217045274641218,0.448174927343813,0.290842574036392,0.381404200854065,0.237603951341005,0.631271115145013,0.180495344714546,0.601879024737192,0.390506478013119,0.593184272005988,0.462505150267751,0.463252565763265,0.486779457498497,0.33442271805512,0.340103717230109,0.455703935901062,0.545433671812993,0.462653214840143,0.504020969624642,0.478235729773791,0.370057306439958,0.450313411919785,0.348402602214532,0.307494261577748,0.352102330288255,0.474731756216147,0.422524147185032,0.26193884852669
"SUS_2",0.344455100052798,1,0.353082347074528,0.546085804907549,0.432015767425427,0.564230274909253,0.42943736114075,0.513699434846845,0.414931509485194,0.482537363050241,0.300705616067256,0.498362848621468,0.328070793597367,0.537107691734228,0.312143755838278,0.305160814344044,0.176307254308696,0.167142872995261,0.242503646780183,0.224021545092517,0.318515828356848,0.418168713261748,0.535257269065837,0.418212632587513,0.400966730583522,0.251010047089553,0.358502930469187,0.238688498630962,0.203162569711741,0.282541931103619,0.286892547007004
"SUS_3",0.406915678096082,0.353082347074528,1,0.212144423195531,0.348068621210398,0.150655600804019,0.502816395967392,0.305339900859706,0.531960295122692,0.347612554692024,0.451476886339372,0.599344869553404,0.358469892975222,0.554995929950165,0.177223624976733,0.215998532230697,0.251590594801742,0.251989147150507,0.30844609654652,0.233620954613796,0.333292906550703,0.383545020247849,0.511174981130299,0.453978279016457,0.424925576099198,0.26177650222952,0.286388983783211,0.338452575479904,0.242467780501208,0.211740281392477,0.349235246358353
"SUS_4",0.217045274641218,0.546085804907549,0.212144423195531,1,0.202741063089956,0.536906067278346,0.173289885000938,0.589071117012011,0.31172890954269,0.509568509048443,0.110041245363529,0.2643999245781,0.107772908053126,0.286384394367043,0.0969317624856576,0.0831832064775915,-0.0455147058594673,-0.140542159655485,0.0760239486310922,0.239563794956268,0.146495523325777,0.201650811923266,0.344619049017267,0.194470484121884,0.247703185146593,0.312951968492389,0.204092962223824,0.246309126213221,0.235174596770586,0.229551520024752,0.205521707050743
"SUS_5",0.448174927343813,0.432015767425427,0.348068621210398,0.202741063089956,1,0.365481667916603,0.248157922547105,0.280966102525934,0.463500148999546,0.208113278262589,0.306021847674865,0.287429096379825,0.417577731765073,0.364859928732048,0.330580779543167,0.238997750974356,0.259394946561052,0.248439943600632,0.260887085302136,0.322678198867813,0.206296166686752,0.378972326928286,0.313192620251179,0.228296239302329,0.360043684479476,0.353637089602837,0.325534635283191,0.278525151499778,0.304611105314,0.2711671716746,0.319294765916471
"SUS_6",0.290842574036392,0.564230274909253,0.150655600804019,0.536906067278346,0.365481667916603,1,0.149079512407485,0.598574371512183,0.262421949350433,0.337148105868238,0.289920580866486,0.220094610905361,0.363036696852057,0.248547030011533,0.17433027016355,0.177358957310846,0.0504585421873814,-0.00654660811098145,0.0335877535979696,0.240133881506961,0.126606143113469,0.321152147095726,0.261491414537687,0.158599288918602,0.26834701492501,0.424299538452264,0.156181857736628,0.283866248136065,0.260358930470155,0.242560349037949,0.158519956706078
"SUS_7",0.381404200854065,0.42943736114075,0.502816395967392,0.173289885000938,0.248157922547105,0.149079512407485,1,0.329934010874015,0.590316040972503,0.355336173555002,0.458661377694844,0.678073893868425,0.359539583734163,0.645539359141518,0.284504577047333,0.245349313897074,0.245628391218536,0.128852457251471,0.158566419212073,0.21457333025394,0.18860558528234,0.280916285106885,0.565640625493493,0.529353667334553,0.439632365007146,0.155226364798999,0.269932188096546,0.111648820595932,0.174108120707726,0.227445560623993,0.278578876291705
"SUS_8",0.237603951341005,0.513699434846845,0.305339900859706,0.589071117012011,0.280966102525934,0.598574371512183,0.329934010874015,1,0.322513181887739,0.440480013370949,0.238116210285361,0.305951467456599,0.208632883175346,0.322575365235291,0.108523198945503,0.128971084854458,0.110036965534243,-0.0622772978024408,0.0956905961437273,0.0915574281762142,0.115904165700004,0.171096045951068,0.321798970930451,0.267723983367365,0.302701935522591,0.310790669256205,0.144275834678266,0.242178497614438,0.0923789531890107,0.231290254464364,0.189454953058068
"SUS_9",0.631271115145013,0.414931509485194,0.531960295122692,0.31172890954269,0.463500148999546,0.262421949350433,0.590316040972503,0.322513181887739,1,0.309762915615102,0.506497052076926,0.56021283213878,0.419924471933436,0.608353026205276,0.366094308425406,0.358779254876628,0.295292118965426,0.256295789937158,0.248051159311844,0.357128119735717,0.362673615114599,0.373818916037991,0.65434141970326,0.475280606246399,0.502077023946315,0.306981803724567,0.373673425758204,0.196209704689581,0.337930582026803,0.400878040155292,0.331388611103659
"SUS_10",0.180495344714546,0.482537363050241,0.347612554692024,0.509568509048443,0.208113278262589,0.337148105868238,0.355336173555002,0.440480013370949,0.309762915615102,1,0.212010332257694,0.456156408641722,0.106053474761377,0.450320048529222,0.176871582621732,0.20176783246372,0.119399594328672,0.0385921656851843,-0.00222845519190145,0.111881740917507,0.181823984015373,0.117904118334343,0.374745557718035,0.262121436294872,0.206103938940074,0.182075831667448,0.225682081940585,0.187021359222126,0.0182950936496341,0.0851800012933047,0.137917637489595
