"Item","Primary_Factor","Max_Loading","MR1","MR4","MR3","MR2","MR5","MR6","Communality_h2","Uniqueness_u2","Complexity"
"UEQ_2","MR1",0.858,0.858,0.037,0.057,0.043,-0.078,-0.021,0.783,0.217,1.04
"SUS_7","MR1",0.797,0.797,-0.087,-0.088,0.022,-0.017,0.129,0.604,0.396,1.1
"UEQ_4","MR1",0.759,0.759,0.157,-0.032,0.103,0.022,0.037,0.789,0.211,1.13
"P088","MR1",0.662,0.662,0.052,0.035,0.096,0.358,-0.071,0.822,0.178,1.64
"SUS_3","MR1",0.637,0.637,-0.012,0.259,0.006,-0.104,-0.043,0.498,0.502,1.39
"P026","MR1",0.592,0.592,0.083,0.027,-0.026,0.406,-0.114,0.693,0.307,1.92
"SUS_9","MR1",0.545,0.545,0.043,-0.042,0.119,0.126,0.304,0.603,0.397,1.84
"UEQ_1","MR1",0.427,0.427,0.206,0.288,-0.055,-0.041,0.266,0.618,0.382,3.12
"SUS_4","MR2",0.787,-0.052,-0.061,0.066,0.787,0.09,-0.102,0.631,0.369,1.1
"SUS_6","MR2",0.765,-0.135,0.007,0.078,0.765,-0.063,0.228,0.656,0.344,1.28
"SUS_8","MR2",0.719,0.108,-0.03,0.003,0.719,-0.051,-0.029,0.563,0.437,1.06
"SUS_2","MR2",0.632,0.198,0.169,-0.042,0.632,0.082,-0.041,0.621,0.379,1.41
"SUS_10","MR2",0.528,0.324,0.037,0.014,0.528,-0.157,-0.23,0.488,0.512,2.32
"P098","MR3",0.806,-0.012,0.065,0.806,0.08,-0.017,-0.101,0.668,0.332,1.07
"P106","MR3",0.635,0.042,-0.201,0.635,0.188,0.048,0.154,0.583,0.417,1.55
"P301","MR3",0.52,0.007,0.137,0.52,0.006,0.025,0.282,0.542,0.458,1.71
"P097","MR3",0.428,-0.084,0.055,0.428,0.006,0.343,0.279,0.572,0.428,2.82
"P027","MR3",0.417,0.172,0.106,0.417,0.041,0.116,0.215,0.515,0.485,2.27
"P067","MR3",0.314,0.146,0.214,0.314,0.036,0.205,-0.092,0.364,0.636,3.35
"UEQ_6","MR4",0.802,-0.063,0.802,-0.055,0.124,0.077,0.076,0.673,0.327,1.11
"UEQ_8","MR4",0.774,0.063,0.774,0.07,-0.143,-0.159,-0.06,0.624,0.376,1.2
"UEQ_5","MR4",0.741,0.015,0.741,-0.109,0.096,0.071,0.175,0.66,0.34,1.21
"UEQ_7","MR4",0.739,0.125,0.739,-0.027,-0.033,-0.177,-0.035,0.583,0.417,1.19
"P064","MR4",0.578,-0.125,0.578,0.267,-0.035,0.205,-0.051,0.515,0.485,1.84
"P060","MR4",0.57,0.045,0.57,0.178,0.004,0.248,-0.055,0.576,0.424,1.62
"P022A","MR5",0.534,0.067,-0.079,0.259,0.064,0.534,0.152,0.554,0.446,1.76
"P4026A","MR5",0.453,0.388,0.103,-0.039,0.096,0.453,0.089,0.594,0.406,2.28
"P089","MR5",0.394,0.182,0.059,0.342,0.027,0.394,-0.082,0.492,0.508,2.57
"SUS_1","MR6",0.499,0.204,0.246,0.12,0.07,0.085,0.499,0.659,0.341,2.1
"UEQ_3","MR6",0.415,0.273,0.224,0.272,-0.004,-0.077,0.415,0.62,0.38,3.28
"SUS_5","MR6",0.247,0.125,0.137,0.145,0.241,-0.006,0.247,0.33,0.67,3.75
