"Item","Primary_Factor","Max_Loading","MR1","MR3","MR2","MR4","MR5","MR6","Communality_h2","Uniqueness_u2","Complexity"
"UEQ_2","MR1",0.881,0.881,-0.01,0.004,0.003,0.013,-0.005,0.783,0.217,1
"SUS_7","MR1",0.822,0.822,-0.099,-0.14,-0.036,0.05,0.168,0.604,0.396,1.19
"UEQ_4","MR1",0.757,0.757,-0.097,0.119,0.058,0.103,0.09,0.789,0.211,1.16
"SUS_3","MR1",0.653,0.653,0.233,-0.044,-0.023,-0.035,-0.103,0.498,0.502,1.33
"P088","MR1",0.62,0.62,-0.075,-0.031,0.045,0.49,-0.004,0.822,0.178,1.95
"P026","MR1",0.551,0.551,-0.106,0.006,-0.072,0.543,-0.042,0.693,0.307,2.12
"SUS_9","MR1",0.519,0.519,0.028,-0.036,0.041,0.151,0.326,0.603,0.397,1.92
"UEQ_1","MR1",0.406,0.406,0.392,0.153,-0.121,-0.043,0.17,0.618,0.382,2.87
"UEQ_8","MR2",0.847,0.043,-0.01,0.847,-0.128,-0.171,-0.047,0.624,0.376,1.14
"UEQ_6","MR2",0.835,-0.138,-0.1,0.835,0.119,0.055,0.145,0.673,0.327,1.2
"UEQ_7","MR2",0.811,0.107,-0.108,0.811,-0.02,-0.189,0.009,0.583,0.417,1.18
"UEQ_5","MR2",0.762,-0.051,-0.119,0.762,0.075,0.041,0.247,0.66,0.34,1.3
"P064","MR2",0.576,-0.206,0.224,0.576,-0.041,0.22,-0.079,0.515,0.485,1.98
"P060","MR2",0.558,-0.035,0.106,0.558,-0.01,0.287,-0.042,0.576,0.424,1.6
"P098","MR3",0.87,-0.065,0.87,0.025,0.075,0.003,-0.335,0.668,0.332,1.32
"P106","MR3",0.801,-0.009,0.801,-0.289,0.146,0.041,-0.057,0.583,0.417,1.35
"P301","MR3",0.699,-0.049,0.699,0.073,-0.049,-0.017,0.101,0.542,0.458,1.09
"P097","MR3",0.583,-0.173,0.583,-0.052,-0.064,0.331,0.15,0.572,0.428,2.01
"P027","MR3",0.535,0.117,0.535,0.031,-0.017,0.116,0.089,0.515,0.485,1.26
"UEQ_3","MR3",0.452,0.242,0.452,0.17,-0.078,-0.128,0.302,0.62,0.38,3.01
"P067","MR3",0.271,0.089,0.271,0.176,0.019,0.263,-0.138,0.364,0.636,3.49
"SUS_5","MR3",0.252,0.083,0.252,0.098,0.201,-0.035,0.199,0.33,0.67,3.52
"SUS_4","MR4",0.812,-0.121,0.043,-0.085,0.812,0.116,-0.072,0.631,0.369,1.13
"SUS_6","MR4",0.759,-0.202,0.212,-0.022,0.759,-0.123,0.203,0.656,0.344,1.53
"SUS_8","MR4",0.736,0.065,-0.003,-0.041,0.736,-0.038,0.004,0.563,0.437,1.03
"SUS_2","MR4",0.637,0.137,-0.095,0.152,0.637,0.12,0.032,0.621,0.379,1.34
"SUS_10","MR4",0.564,0.319,-0.095,0.061,0.564,-0.1,-0.185,0.488,0.512,2.01
"P022A","MR5",0.586,-0.024,0.322,-0.206,-0.004,0.586,0.109,0.554,0.446,1.93
"P4026A","MR5",0.537,0.321,-0.08,0.01,0.034,0.537,0.163,0.594,0.406,1.91
"P089","MR5",0.481,0.11,0.303,-0.023,-0.008,0.481,-0.128,0.492,0.508,1.99
"SUS_1","MR6",0.442,0.149,0.308,0.172,-0.018,0.031,0.442,0.659,0.341,2.42
