"Item","Primary_Factor","Max_Loading","MR1","MR2","MR3","Communality_h2","Uniqueness_u2","Complexity"
"P106","MR1",0.915,0.915,-0.049,-0.238,0.575,0.425,1.14
"P098","MR1",0.722,0.722,-0.079,0.05,0.505,0.495,1.03
"P097","MR1",0.584,0.584,-0.058,0.232,0.519,0.481,1.33
"P022A","MR1",0.569,0.569,0.318,-0.163,0.486,0.514,1.76
"P089","MR1",0.432,0.432,0.332,0.019,0.482,0.518,1.88
"P027","MR1",0.41,0.41,0.107,0.311,0.529,0.471,2.02
"P067","MR1",0.272,0.272,0.166,0.225,0.324,0.676,2.63
"P026","MR2",0.932,-0.077,0.932,-0.017,0.777,0.223,1.01
"P088","MR2",0.873,-0.012,0.873,0.035,0.785,0.215,1
"P4026A","MR2",0.717,-0.011,0.717,0.089,0.581,0.419,1.03
"P060","MR3",0.975,-0.332,0.213,0.975,0.83,0.17,1.33
"P064","MR3",0.667,0.025,-0.025,0.667,0.448,0.552,1.01
"P301","MR3",0.52,0.455,-0.228,0.52,0.587,0.413,2.36
