"","P064","P301","P060","P027","P088","P026","P4026A","P106","P089","P098","P097","P022A","P067"
"P064",1,0.422326974710547,0.580568431333402,0.367245646213046,0.299347363136017,0.299986963344751,0.275170292279883,0.177074680235505,0.337067305419653,0.365863292502576,0.43395520308234,0.257180373388929,0.433066313192463
"P301",0.422326974710547,1,0.543926528406985,0.638314199661848,0.339171537715224,0.213580752576064,0.295164121475112,0.436151365740738,0.353444704718367,0.523250443916061,0.500390084098033,0.33718871776504,0.27780154076343
"P060",0.580568431333402,0.543926528406985,1,0.482329952388467,0.515438891056802,0.447571867893208,0.482170792512482,0.153001513078837,0.381934085524142,0.294637279776379,0.427023253243093,0.27968672610439,0.376169924330169
"P027",0.367245646213046,0.638314199661848,0.482329952388467,1,0.500901046027006,0.441690615911162,0.423971203815911,0.461885235039968,0.45287353283301,0.459239646356674,0.489837131960987,0.372925665024382,0.39891138006386
"P088",0.299347363136017,0.339171537715224,0.515438891056802,0.500901046027006,1,0.795869093346568,0.685448260817246,0.34897047130967,0.512939337226554,0.348133317140765,0.303592012352703,0.466912482155843,0.344429669583446
"P026",0.299986963344751,0.213580752576064,0.447571867893208,0.441690615911162,0.795869093346568,1,0.661670543164535,0.28131956375691,0.470439639621968,0.297302686473945,0.312766683797373,0.432970801433659,0.385964387234781
"P4026A",0.275170292279883,0.295164121475112,0.482170792512482,0.423971203815911,0.685448260817246,0.661670543164535,1,0.287109719540402,0.412611587809499,0.263566885660957,0.374064047427308,0.45579447157833,0.340392713515619
"P106",0.177074680235505,0.436151365740738,0.153001513078837,0.461885235039968,0.34897047130967,0.28131956375691,0.287109719540402,1,0.348210483344236,0.557229003633102,0.529271223060751,0.43371452516685,0.318982758860687
"P089",0.337067305419653,0.353444704718367,0.381934085524142,0.45287353283301,0.512939337226554,0.470439639621968,0.412611587809499,0.348210483344236,1,0.46581870989106,0.426121066240319,0.601623017307853,0.50243066564292
"P098",0.365863292502576,0.523250443916061,0.294637279776379,0.459239646356674,0.348133317140765,0.297302686473945,0.263566885660957,0.557229003633102,0.46581870989106,1,0.411390040807392,0.429118256961111,0.349053761651069
"P097",0.43395520308234,0.500390084098033,0.427023253243093,0.489837131960987,0.303592012352703,0.312766683797373,0.374064047427308,0.529271223060751,0.426121066240319,0.411390040807392,1,0.507009709736387,0.435771410962707
"P022A",0.257180373388929,0.33718871776504,0.27968672610439,0.372925665024382,0.466912482155843,0.432970801433659,0.45579447157833,0.43371452516685,0.601623017307853,0.429118256961111,0.507009709736387,1,0.323691941240118
"P067",0.433066313192463,0.27780154076343,0.376169924330169,0.39891138006386,0.344429669583446,0.385964387234781,0.340392713515619,0.318982758860687,0.50243066564292,0.349053761651069,0.435771410962707,0.323691941240118,1
