,,Item,Primary_Factor,Max_Loading,MR1,MR2,MR3,Communality_h2,Uniqueness_u2,Complexity
Visualization,P106 The visualizations I saw seemed to represent the data faithfully,P106,MR1,0.79,0.79,0.085,-0.201,0.591,0.409,1.15
Visualization,P098 I found the visual representations provided by the system were appropriate,P098,MR1,0.725,0.725,-0.029,0.074,0.554,0.446,1.02
Visualization,P097 Using the system I could easily retrieve information from my data,P097,MR1,0.583,0.583,0.034,0.207,0.501,0.499,1.26
CognitiveV,P301 The system was useful for me,P301,MR1,0.555,0.555,-0.152,0.431,0.57,0.43,2.06
Visualization,P022A I can easily remember how to read the visualizations in the system,P022A,MR1,0.476,0.476,0.378,-0.091,0.472,0.528,1.99
CognitiveV,P027 I could complete my essential tasks efficiently,P027,MR1,0.462,0.462,0.173,0.263,0.519,0.481,1.91
Visualization,P089 The visual representations I saw were simple to understand,P089,MR1,0.423,0.423,0.364,0.05,0.481,0.519,1.99
Visualization,P067.I.could.safely.engage.in.a.trial.and.error.analysis.processï,P067,MR1,0.321,0.321,0.206,0.207,0.336,0.664,2.49
Intuitiveness,P026 I found it easy to get started using this system,P026,MR2,0.895,-0.029,0.895,0.001,0.78,0.22,1
Intuitiveness,P088 I found the system simple to understand,P088,MR2,0.837,0.038,0.837,0.055,0.776,0.224,1.01
Intuitiveness,P4026A Getting the tool configured for my analysis was straightforward,P4026A,MR2,0.698,0.028,0.698,0.111,0.59,0.41,1.05
CognitiveV,P060 I enjoyed using this system,P060,MR3,0.884,-0.047,0.155,0.884,0.891,0.109,1.07
CognitiveV,P064 The tool encouraged me to think deeply about my data,P064,MR3,0.562,0.204,-0.014,0.562,0.437,0.563,1.26
