,,Item,Primary_Factor,Max_Loading,MR2,MR1,MR4,MR3,Communality_h2,Uniqueness_u2,Complexity
Visualization,P089 The visual representations I saw were simple to understand,P089,MR1,0.583,0.234,0.583,0.003,0.061,0.555,0.445,1.34
Visualization,P022A I can easily remember how to read the visualizations in the system,P022A,MR1,0.547,0.254,0.547,0.047,-0.09,0.52,0.48,1.49
Visualization,P067.I.could.safely.engage.in.a.trial.and.error.analysis.processï,P067,MR1,0.54,0.082,0.54,-0.024,0.237,0.426,0.574,1.43
Visualization,P097 Using the system I could easily retrieve information from my data,P097,MR1,0.492,-0.021,0.492,0.298,0.12,0.516,0.484,1.79
Intuitiveness,P088 I found the system simple to understand,P088,MR2,0.928,0.928,-0.062,0.079,-0.018,0.853,0.147,1.02
Intuitiveness,P026 I found it easy to get started using this system,P026,MR2,0.85,0.85,0.096,-0.109,0.024,0.755,0.245,1.06
Intuitiveness,P4026A Getting the tool configured for my analysis was straightforward,P4026A,MR2,0.701,0.701,0.067,0.006,0.08,0.587,0.413,1.04
CognitiveV,P060 I enjoyed using this system,P060,MR3,0.66,0.274,0.012,0.223,0.66,0.8,0.2,1.59
CognitiveV,P064 The tool encouraged me to think deeply about my data,P064,MR3,0.558,-0.07,0.377,0.091,0.558,0.531,0.469,1.86
CognitiveV,P301 The system was useful for me,P301,MR4,0.848,-0.009,-0.063,0.848,0.172,0.767,0.233,1.09
Visualization,P106 The visualizations I saw seemed to represent the data faithfully,P106,MR4,0.538,0.096,0.323,0.538,-0.361,0.626,0.374,2.55
CognitiveV,P027 I could complete my essential tasks efficiently,P027,MR4,0.512,0.269,0.089,0.512,0.077,0.558,0.442,1.64
Visualization,P098 I found the visual representations provided by the system were appropriate,P098,MR4,0.499,-0.017,0.366,0.499,-0.068,0.54,0.46,1.88
