,,Item,Primary_Factor,Max_Loading,MR1,MR2,MR3,Communality_h2,Uniqueness_u2,Complexity
Visualization,P106 The visualizations I saw seemed to represent the data faithfully,P106,MR1,0.786,0.786,0.06,-0.172,0.575,0.425,1.11
Visualization,P098 I found the visual representations provided by the system were appropriate,P098,MR1,0.673,0.673,0.012,0.071,0.505,0.495,1.02
Visualization,P097 Using the system I could easily retrieve information from my data,P097,MR1,0.59,0.59,0.019,0.226,0.519,0.481,1.29
CognitiveV,P301 The system was useful for me,P301,MR1,0.53,0.53,-0.156,0.468,0.587,0.413,2.16
Visualization,P022A I can easily remember how to read the visualizations in the system,P022A,MR1,0.502,0.502,0.373,-0.111,0.486,0.514,1.96
CognitiveV,P027 I could complete my essential tasks efficiently,P027,MR1,0.456,0.456,0.159,0.292,0.529,0.471,1.98
Visualization,P089 The visual representations I saw were simple to understand,P089,MR1,0.419,0.419,0.374,0.044,0.482,0.518,2
Visualization,P067.I.could.safely.engage.in.a.trial.and.error.analysis.processï,P067,MR1,0.311,0.311,0.197,0.213,0.324,0.676,2.53
Intuitiveness,P026 I found it easy to get started using this system,P026,MR2,0.891,-0.03,0.891,0.007,0.777,0.223,1
Intuitiveness,P088 I found the system simple to understand,P088,MR2,0.843,0.039,0.843,0.053,0.785,0.215,1.01
Intuitiveness,P4026A Getting the tool configured for my analysis was straightforward,P4026A,MR2,0.693,0.044,0.693,0.097,0.581,0.419,1.05
CognitiveV,P060 I enjoyed using this system,P060,MR3,0.845,-0.069,0.182,0.845,0.83,0.17,1.11
CognitiveV,P064 The tool encouraged me to think deeply about my data,P064,MR3,0.584,0.177,-0.01,0.584,0.448,0.552,1.18
