"Item","Primary_Factor","Max_Loading","MR1","MR2","MR3","Communality_h2","Uniqueness_u2","Complexity"
"P106","MR1",0.786,0.786,0.06,-0.172,0.575,0.425,1.11
"P098","MR1",0.673,0.673,0.012,0.071,0.505,0.495,1.02
"P097","MR1",0.59,0.59,0.019,0.226,0.519,0.481,1.29
"P301","MR1",0.53,0.53,-0.156,0.468,0.587,0.413,2.16
"P022A","MR1",0.502,0.502,0.373,-0.111,0.486,0.514,1.96
"P027","MR1",0.456,0.456,0.159,0.292,0.529,0.471,1.98
"P089","MR1",0.419,0.419,0.374,0.044,0.482,0.518,2
"P067","MR1",0.311,0.311,0.197,0.213,0.324,0.676,2.53
"P026","MR2",0.891,-0.03,0.891,0.007,0.777,0.223,1
"P088","MR2",0.843,0.039,0.843,0.053,0.785,0.215,1.01
"P4026A","MR2",0.693,0.044,0.693,0.097,0.581,0.419,1.05
"P060","MR3",0.845,-0.069,0.182,0.845,0.83,0.17,1.11
"P064","MR3",0.584,0.177,-0.01,0.584,0.448,0.552,1.18
