"Item","Primary_Factor","Max_Loading","MR2","MR1","MR4","MR3","Communality_h2","Uniqueness_u2","Complexity"
"P089","MR1",0.594,0.244,0.594,-0.044,0.093,0.559,0.441,1.39
"P022A","MR1",0.55,0.263,0.55,0.031,-0.092,0.516,0.484,1.51
"P067","MR1",0.55,0.063,0.55,-0.061,0.287,0.435,0.565,1.57
"P097","MR1",0.511,-0.026,0.511,0.289,0.129,0.529,0.471,1.74
"P098","MR1",0.422,0.013,0.422,0.397,-0.069,0.493,0.507,2.05
"P088","MR2",0.932,0.932,-0.05,0.075,-0.035,0.859,0.141,1.02
"P026","MR2",0.849,0.849,0.086,-0.112,0.038,0.752,0.248,1.06
"P4026A","MR2",0.7,0.7,0.064,0.02,0.058,0.58,0.42,1.03
"P060","MR3",0.597,0.293,-0.041,0.279,0.597,0.748,0.252,1.94
"P064","MR3",0.578,-0.06,0.319,0.129,0.578,0.546,0.454,1.7
"P301","MR4",0.869,-0.008,-0.025,0.869,0.12,0.8,0.2,1.04
"P027","MR4",0.517,0.261,0.122,0.517,0.052,0.57,0.43,1.63
"P106","MR4",0.445,0.066,0.428,0.445,-0.34,0.602,0.398,2.92
