"","P064","P301","P060","P027","P088","P026","P4026A","P106","P089","P098","P097","P022A","P067"
"P064",NA,3.8033165459412e-11,1.13273261036112e-21,1.47138823594987e-08,4.86699976663134e-06,4.634646091348e-06,2.84348102678221e-05,0.0080395198166938,2.21601378568748e-07,1.5616223426202e-08,9.51656732546227e-12,9.53788868491337e-05,1.17849771271186e-11
"P301",3.8033165459412e-11,NA,8.40257474029327e-19,3.79094611693189e-27,1.7290231771107e-07,0.00123628136381733,6.37203777425162e-06,8.1097118864274e-12,4.72743778990396e-08,2.76417348504668e-17,1.00691630819778e-15,2.05983990521087e-07,2.36491250183829e-05
"P060",1.13273261036112e-21,8.40257474029327e-19,NA,1.64086972091e-14,9.73501844070681e-17,1.56563340764163e-12,1.46722890472903e-14,0.0219860549499017,2.91214437754224e-09,6.63044997645242e-06,1.97365621041183e-11,1.9833278071488e-05,5.65886515962639e-09
"P027",1.47138823594987e-08,3.79094611693189e-27,1.64086972091e-14,NA,1.07902439045691e-15,3.67571667585785e-12,3.13669610314991e-11,3.48662062692054e-13,8.89856609590723e-13,3.87679860914977e-13,5.56988564663633e-15,7.8192657865048e-09,5.78866793191681e-10
"P088",4.86699976663134e-06,1.7290231771107e-07,9.73501844070681e-17,1.07902439045691e-15,NA,1.03021973646077e-50,1.05161373911909e-32,8.17376193393206e-08,1.44660854511345e-16,7.71752798537479e-08,3.33754840591267e-06,1.22788905977415e-13,1.15325485511503e-07
"P026",4.634646091348e-06,0.00123628136381733,1.56563340764163e-12,3.67571667585785e-12,1.03021973646077e-50,NA,7.76865354634526e-30,1.9245213908267e-05,7.58451664575705e-14,5.41809111706177e-06,1.61277894598614e-06,9.64485816423768e-12,2.08585592815381e-09
"P4026A",2.84348102678221e-05,6.37203777425162e-06,1.46722890472903e-14,3.13669610314991e-11,1.05161373911909e-32,7.76865354634526e-30,NA,1.26958870385341e-05,1.05698756683944e-10,6.03424782771392e-05,6.4626327043895e-09,5.40972519384149e-13,1.65334502110078e-07
"P106",0.0080395198166938,8.1097118864274e-12,0.0219860549499017,3.48662062692054e-13,8.17376193393206e-08,1.9245213908267e-05,1.26958870385341e-05,NA,8.75757202046869e-08,1.13513979269424e-19,1.42916504830701e-17,1.08982877280995e-11,1.14845440907189e-06
"P089",2.21601378568748e-07,4.72743778990396e-08,2.91214437754224e-09,8.89856609590723e-13,1.44660854511345e-16,7.58451664575705e-14,1.05698756683944e-10,8.75757202046869e-08,NA,1.42414867053431e-13,2.19743405997452e-11,1.22289967620012e-23,8.55935169706507e-16
"P098",1.5616223426202e-08,2.76417348504668e-17,6.63044997645242e-06,3.87679860914977e-13,7.71752798537479e-08,5.41809111706177e-06,6.03424782771392e-05,1.13513979269424e-19,1.42414867053431e-13,NA,1.21413329898059e-10,1.53611111755378e-11,7.58579387131296e-08
"P097",9.51656732546227e-12,1.00691630819778e-15,1.97365621041183e-11,5.56988564663633e-15,3.33754840591267e-06,1.61277894598614e-06,6.4626327043895e-09,1.42916504830701e-17,2.19743405997452e-11,1.21413329898059e-10,NA,3.6544454352765e-16,7.62809193329157e-12
"P022A",9.53788868491337e-05,2.05983990521087e-07,1.9833278071488e-05,7.8192657865048e-09,1.22788905977415e-13,9.64485816423768e-12,5.40972519384149e-13,1.08982877280995e-11,1.22289967620012e-23,1.53611111755378e-11,3.6544454352765e-16,NA,6.95599436434258e-07
"P067",1.17849771271186e-11,2.36491250183829e-05,5.65886515962639e-09,5.78866793191681e-10,1.15325485511503e-07,2.08585592815381e-09,1.65334502110078e-07,1.14845440907189e-06,8.55935169706507e-16,7.58579387131296e-08,7.62809193329157e-12,6.95599436434258e-07,NA
