"","Tested_model-JMP"
"npar",42
"fmin",1.67239399162801
"chisq",137.136307313497
"df",62
"pvalue",1.32783266604264e-07
"baseline.chisq",328.984720180268
"baseline.df",78
"baseline.pvalue",0
"cfi",0.70063393795634
"tli",0.623378180009589
"cfi.robust",0.704534595097796
"tli.robust",0.62828545834884
"nnfi",0.623378180009589
"rfi",0.475579528406242
"nfi",0.583152958476757
"pnfi",0.463531838789217
"ifi",0.718574503953767
"rni",0.70063393795634
"nnfi.robust",0.62828545834884
"rni.robust",0.704534595097796
"logl",-568.333387857484
"unrestricted.logl",-499.765234200736
"aic",1220.66677571497
"bic",1292.63680251655
"ntotal",41
"bic2",1161.15891969948
"rmsea",0.171924254763206
"rmsea.ci.lower",0.133120611372242
"rmsea.ci.upper",0.210804734654672
"rmsea.ci.level",0.9
"rmsea.pvalue",3.97148060082841e-06
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.99983769919469
"rmsea.notclose.h0",0.08
"rmsea.robust",0.170676173086571
"rmsea.ci.lower.robust",0.131228638490853
"rmsea.ci.upper.robust",0.210114367356491
"rmsea.pvalue.robust",6.96591365823007e-06
"rmsea.notclose.pvalue.robust",0.999758347748595
"rmr",0.0768255772745889
"rmr_nomean",0.08212976704003
"srmr",0.113027653260856
"srmr_bentler",0.113027653260856
"srmr_bentler_nomean",0.120831231433268
"crmr",0.120828321703889
"crmr_nomean",0.130509058111534
"srmr_mplus",0.113038551549342
"srmr_mplus_nomean",0.120828665694607
"cn_05",25.3306946796903
"cn_01",28.1471712064832
"gfi",0.987876845563664
"agfi",0.979664386106791
"pgfi",0.588926581009107
"mfi",0.399997720495198
"ecvi",5.39356847106089
