,Tested_model-POOLED_OVERALL
npar,42
fmin,0.371992919
chisq,168.1407993
df,62
pvalue,9.81303927005683e-12
baseline.chisq,1137.927666
baseline.df,78
baseline.pvalue,0
cfi,0.899860337
tli,0.874017843
cfi.robust,0.899763457
tli.robust,0.873895961
nnfi,0.874017843
rfi,0.814107716
nfi,0.852239466
pnfi,0.677421114
ifi,0.901349503
rni,0.899860337
nnfi.robust,0.873895961
rni.robust,0.899763457
logl,-3309.430703
unrestricted.logl,-3225.360304
aic,6702.861406
bic,6846.523876
ntotal,226
bic2,6713.415662
rmsea,0.087034435
rmsea.ci.lower,0.071377024
rmsea.ci.upper,0.102967218
rmsea.ci.level,0.9
rmsea.pvalue,0.000104008
rmsea.close.h0,0.05
rmsea.notclose.pvalue,0.778768894
rmsea.notclose.h0,0.08
rmsea.robust,0.087186141
rmsea.ci.lower.robust,0.071459976
rmsea.ci.upper.robust,0.103186854
rmsea.pvalue.robust,0.000104845
rmsea.notclose.pvalue.robust,0.782446499
rmr,0.048361826
rmr_nomean,0.051700678
srmr,0.060714515
srmr_bentler,0.060714515
srmr_bentler_nomean,0.064906221
crmr,0.064891346
crmr_nomean,0.070090314
srmr_mplus,0.060737822
srmr_mplus_nomean,0.06489252
cn_05,110.3851671
cn_01,123.0473932
gfi,0.996140031
agfi,0.993525214
pgfi,0.593852711
mfi,0.790709388
ecvi,1.115667254
