"","Tested_model-Tableau"
"npar",42
"fmin",0.972135403468716
"chisq",89.4364571191219
"df",62
"pvalue",0.0128561568464397
"baseline.chisq",245.068990278658
"baseline.df",78
"baseline.pvalue",0
"cfi",0.835777680386049
"tli",0.793397726937287
"cfi.robust",0.835777680386051
"tli.robust",0.79339772693729
"nnfi",0.793397726937287
"rfi",0.540876905634105
"nfi",0.635056001914288
"pnfi",0.504788104085716
"ifi",0.850130505022399
"rni",0.835777680386049
"nnfi.robust",0.79339772693729
"rni.robust",0.835777680386051
"logl",-674.963910099817
"unrestricted.logl",-630.245681540256
"aic",1433.92782019963
"bic",1510.73075885218
"ntotal",46
"bic2",1379.04000178315
"rmsea",0.098081986769867
"rmsea.ci.lower",0.0466747656529915
"rmsea.ci.upper",0.140950250035393
"rmsea.ci.level",0.9
"rmsea.pvalue",0.0587959924760756
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.754029069985972
"rmsea.notclose.h0",0.08
"rmsea.robust",0.0980819867698662
"rmsea.ci.lower.robust",0.0466747656529901
"rmsea.ci.upper.robust",0.140950250035393
"rmsea.pvalue.robust",0.0587959924760794
"rmsea.notclose.pvalue.robust",0.754029069985962
"rmr",0.0908137230136452
"rmr_nomean",0.0970839535812709
"srmr",0.113026217205563
"srmr_bentler",0.113026217205563
"srmr_bentler_nomean",0.120830108716089
"crmr",0.120830098738275
"crmr_nomean",0.130511423080963
"srmr_mplus",0.113026207919299
"srmr_mplus_nomean",0.120830098740859
"cn_05",42.8568313110088
"cn_01",47.7021012231661
"gfi",0.994637556089281
"agfi",0.991004932794923
"pgfi",0.592957004591687
"mfi",0.742136299978754
"ecvi",3.77035776345917
