"","Tested_model-full_data"
"npar",210
"fmin",1.22926190340848
"chisq",511.372951817928
"df",310
"pvalue",4.44788650355576e-12
"baseline.chisq",1545.51935181462
"baseline.df",390
"baseline.pvalue",0
"cfi",0.825729485619006
"tli",0.780756449649717
"cfi.robust",0.825118574325826
"tli.robust",0.779987883829265
"nnfi",0.780756449649717
"rfi",0.583738524894601
"nfi",0.66912549414699
"pnfi",0.531868982527095
"ifi",0.837013518629094
"rni",0.825729485619006
"nnfi.robust",0.779987883829265
"rni.robust",0.825118574325826
"logl",-2880.37809546543
"unrestricted.logl",-2624.69161955647
"aic",6180.75619093086
"bic",6881.63918766814
"ntotal",208
"bic2",6216.25746800846
"rmsea",0.124960586782028
"rmsea.ci.lower",0.105372789164836
"rmsea.ci.upper",0.14401305309899
"rmsea.ci.level",0.9
"rmsea.pvalue",3.09377518048493e-08
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.99981284514421
"rmsea.notclose.h0",0.08
"rmsea.robust",0.12523283700086
"rmsea.ci.lower.robust",0.105520202569318
"rmsea.ci.upper.robust",0.144399032764864
"rmsea.pvalue.robust",3.42562095356769e-08
"rmsea.notclose.pvalue.robust",0.999810907403312
"rmr",0.0796609002788398
"rmr_nomean",0.0851422541179324
"srmr",0.103379695363835
"srmr_bentler",0.103379695363835
"srmr_bentler_nomean",0.11049912387798
"crmr",0.110457214621707
"crmr_nomean",0.119287495211885
"srmr_mplus",0.104148725639744
"srmr_mplus_nomean",0.110471997759356
"cn_05",144.200423311408
"cn_01",151.842019308491
"gfi",0.990943377658517
"agfi",0.984808246394931
"pgfi",0.590754705911808
"mfi",0.616270310646158
"ecvi",4.47775457604773
