"","visualization1","visualization2","visualization3","visualization4","visualization5","visualization6","cognitive1","cognitive2","cognitive3","cognitive4","intuitiveness1","intuitiveness2","intuitiveness3"
"visualization1",1,0.283962179076896,0.642278791068654,0.580864380409363,0.146543510331197,0.31032406045454,0.361464745091611,0.588983421411805,0.0928465567290099,0.631829134669407,0.174512203277094,0.124127165767901,-0.00607072173348973
"visualization2",0.283962179076896,1,0.519163958584924,0.487701847120481,0.611118525132315,0.600206813476198,0.50401130646602,0.525516445806412,0.516298524675824,0.311861794085498,0.607341601551838,0.540414766627015,0.256997056006106
"visualization3",0.642278791068654,0.519163958584924,1,0.586410854412271,0.267264868412519,0.608424583419044,0.68593126463044,0.833603625008141,0.421900149484231,0.626937707272768,0.325316272459468,0.353547497077342,0.22089745528008
"visualization4",0.580864380409363,0.487701847120481,0.586410854412271,1,0.526182149956361,0.562246214898309,0.607583800279671,0.562220933020726,0.558208115363864,0.603857823507648,0.448600455354052,0.513501266930519,0.500107966218464
"visualization5",0.146543510331197,0.611118525132315,0.267264868412519,0.526182149956361,1,0.531825750570029,0.437506059729484,0.44035337885264,0.443928151324113,0.363347493939173,0.639041763719458,0.529966241275984,0.386321832118468
"visualization6",0.31032406045454,0.600206813476198,0.608424583419044,0.562246214898309,0.531825750570029,1,0.653643664461938,0.664036649999285,0.673585003060744,0.436720051184444,0.564174665395521,0.485528246856624,0.615436354212729
"cognitive1",0.361464745091611,0.50401130646602,0.68593126463044,0.607583800279671,0.437506059729484,0.653643664461938,1,0.661169272464116,0.549346539379512,0.447677327101164,0.31252834712339,0.428100528232533,0.410666730489288
"cognitive2",0.588983421411805,0.525516445806412,0.833603625008141,0.562220933020726,0.44035337885264,0.664036649999285,0.661169272464116,1,0.458904939403614,0.703673885917785,0.32332862451094,0.395044961626252,0.245006918951507
"cognitive3",0.0928465567290099,0.516298524675824,0.421900149484231,0.558208115363864,0.443928151324113,0.673585003060744,0.549346539379512,0.458904939403614,1,0.480965557151334,0.505981675993766,0.62975253655223,0.714196089025807
"cognitive4",0.631829134669407,0.311861794085498,0.626937707272768,0.603857823507648,0.363347493939173,0.436720051184444,0.447677327101164,0.703673885917785,0.480965557151334,1,0.448327168237458,0.438326937954418,0.370786936950442
"intuitiveness1",0.174512203277094,0.607341601551838,0.325316272459468,0.448600455354052,0.639041763719458,0.564174665395521,0.31252834712339,0.32332862451094,0.505981675993766,0.448327168237458,1,0.814271541998006,0.753324389269844
"intuitiveness2",0.124127165767901,0.540414766627015,0.353547497077342,0.513501266930519,0.529966241275984,0.485528246856624,0.428100528232533,0.395044961626252,0.62975253655223,0.438326937954418,0.814271541998006,1,0.680021263072403
"intuitiveness3",-0.00607072173348973,0.256997056006106,0.22089745528008,0.500107966218464,0.386321832118468,0.615436354212729,0.410666730489288,0.245006918951507,0.714196089025807,0.370786936950442,0.753324389269844,0.680021263072403,1
