"","visualization1","visualization2","visualization3","visualization4","visualization5","visualization6","cognitive1","cognitive2","cognitive3","cognitive4","intuitiveness1","intuitiveness2","intuitiveness3"
"visualization1",1,0.581259546457085,0.573501154946131,0.497815170803647,0.610483826759162,0.26352109549195,0.305194754606866,0.699907100420955,0.265442161086821,0.63858725640436,0.581451891193611,0.661119889701931,0.590103918231787
"visualization2",0.581259546457085,1,0.508248752503133,0.666161812750123,0.624726025844383,0.744018605643589,0.304044777995259,0.435230669102318,0.34328438043298,0.375473318338198,0.508412215391222,0.450545397909148,0.438452674913991
"visualization3",0.573501154946131,0.508248752503133,1,0.48362799604689,0.449847678549936,0.197937869879878,0.476565570465853,0.649935705915394,0.248610354010321,0.633479947743844,0.358003671309474,0.484219965515686,0.388263033128993
"visualization4",0.497815170803647,0.666161812750123,0.48362799604689,1,0.621424208651982,0.295778232713067,0.233065682991264,0.49780489366778,0.274425804743919,0.55501697367815,0.375832713477995,0.386104086074126,0.509734704248516
"visualization5",0.610483826759162,0.624726025844383,0.449847678549936,0.621424208651982,1,0.36186504677533,0.0924701053181637,0.628969569695857,0.174501705079574,0.249831293427374,0.458973821047701,0.382817904854782,0.482457310764014
"visualization6",0.26352109549195,0.744018605643589,0.197937869879878,0.295778232713067,0.36186504677533,1,0.281346368965224,0.223026625867194,0.370181710439005,0.247422239520217,0.508417581717289,0.465874157324945,0.0990021184071176
"cognitive1",0.305194754606866,0.304044777995259,0.476565570465853,0.233065682991264,0.0924701053181637,0.281346368965224,1,0.303789620706223,0.477236883905978,0.309677641512223,0.432337548354169,0.397994326907848,0.178160159490707
"cognitive2",0.699907100420955,0.435230669102318,0.649935705915394,0.49780489366778,0.628969569695857,0.223026625867194,0.303789620706223,1,0.630408694360396,0.774035310886405,0.506418153626332,0.424800081867092,0.397567633715774
"cognitive3",0.265442161086821,0.34328438043298,0.248610354010321,0.274425804743919,0.174501705079574,0.370181710439005,0.477236883905978,0.630408694360396,1,0.508446617892353,0.666411744835508,0.396867552535634,0.368024564990933
"cognitive4",0.63858725640436,0.375473318338198,0.633479947743844,0.55501697367815,0.249831293427374,0.247422239520217,0.309677641512223,0.774035310886405,0.508446617892353,1,0.449844543461809,0.58828798281435,0.245158449687588
"intuitiveness1",0.581451891193611,0.508412215391222,0.358003671309474,0.375832713477995,0.458973821047701,0.508417581717289,0.432337548354169,0.506418153626332,0.666411744835508,0.449844543461809,1,0.865583130447761,0.623796468473969
"intuitiveness2",0.661119889701931,0.450545397909148,0.484219965515686,0.386104086074126,0.382817904854782,0.465874157324945,0.397994326907848,0.424800081867092,0.396867552535634,0.58828798281435,0.865583130447761,1,0.499226877946673
"intuitiveness3",0.590103918231787,0.438452674913991,0.388263033128993,0.509734704248516,0.482457310764014,0.0990021184071176,0.178160159490707,0.397567633715774,0.368024564990933,0.245158449687588,0.623796468473969,0.499226877946673,1
