"","visualization1","visualization2","visualization3","visualization4","visualization5","visualization6","cognitive1","cognitive2","cognitive3","cognitive4","intuitiveness1","intuitiveness2","intuitiveness3"
"visualization1",1,0.331459357323701,0.742962006083919,0.530673085386359,0.499657888941113,0.348091275639479,0.25561412101151,0.559854319778884,0.35592218079391,0.337432953621248,0.284318307643691,0.108304794959035,0.378749706555275
"visualization2",0.331459357323701,1,0.691361187146733,0.196245007493467,0.707675547156556,0.591891748932919,0.408417152450765,0.428244860126114,0.471478706016766,0.723592772819369,0.522243087441715,0.555159232218466,0.500043076482452
"visualization3",0.742962006083919,0.691361187146733,1,0.187280026093206,0.405101765643271,0.334951963563709,0.0120263144414142,0.617963426006729,0.300148075391916,0.551929720274324,0.333472002911246,0.132781638149311,0.268192937196189
"visualization4",0.530673085386359,0.196245007493467,0.187280026093206,1,0.529480338198095,0.460640861017782,0.652526764183697,0.243856915104888,0.487618958609443,0.074654129548732,0.21014929042562,0.226660777636375,0.31239035228404
"visualization5",0.499657888941113,0.707675547156556,0.405101765643271,0.529480338198095,1,0.534685852133744,0.640997146576083,0.0807731678132584,0.52855220216615,0.507933259281767,0.458186312240123,0.546359724467885,0.648075498121829
"visualization6",0.348091275639479,0.591891748932919,0.334951963563709,0.460640861017782,0.534685852133744,1,0.639254448303687,0.415669249267938,0.467215203120749,0.410449551769022,0.36003974884219,0.68554628542967,0.577809126640283
"cognitive1",0.25561412101151,0.408417152450765,0.0120263144414142,0.652526764183697,0.640997146576083,0.639254448303687,1,0.216551727971706,0.742838837918595,0.24676119576886,0.494422546531321,0.67835752393078,0.536519083611713
"cognitive2",0.559854319778884,0.428244860126114,0.617963426006729,0.243856915104888,0.0807731678132584,0.415669249267938,0.216551727971706,1,0.417478808172077,0.470159659402858,0.296278075825557,0.179396635250192,0.335662681548342
"cognitive3",0.35592218079391,0.471478706016766,0.300148075391916,0.487618958609443,0.52855220216615,0.467215203120749,0.742838837918595,0.417478808172077,1,0.505418469839997,0.686155479396244,0.618599252823162,0.733057218487792
"cognitive4",0.337432953621248,0.723592772819369,0.551929720274324,0.074654129548732,0.507933259281767,0.410449551769022,0.24676119576886,0.470159659402858,0.505418469839997,1,0.518707813006053,0.587975598790197,0.602621515744341
"intuitiveness1",0.284318307643691,0.522243087441715,0.333472002911246,0.21014929042562,0.458186312240123,0.36003974884219,0.494422546531321,0.296278075825557,0.686155479396244,0.518707813006053,1,0.731798814499014,0.613434484814337
"intuitiveness2",0.108304794959035,0.555159232218466,0.132781638149311,0.226660777636375,0.546359724467885,0.68554628542967,0.67835752393078,0.179396635250192,0.618599252823162,0.587975598790197,0.731798814499014,1,0.737513255744018
"intuitiveness3",0.378749706555275,0.500043076482452,0.268192937196189,0.31239035228404,0.648075498121829,0.577809126640283,0.536519083611713,0.335662681548342,0.733057218487792,0.602621515744341,0.613434484814337,0.737513255744018,1
