"","visualization1","visualization2","visualization3","visualization4","visualization5","visualization6","cognitive1","cognitive2","cognitive3","cognitive4","intuitiveness1","intuitiveness2","intuitiveness3"
"visualization1",1,0.2497460471712,0.571132013937918,0.529708952049338,0.620913926661926,0.549182246739622,0.172159262270283,0.258089572233937,0.281258064300322,0.344057087040548,0.459342920875855,0.52307746087963,0.549877678582056
"visualization2",0.2497460471712,1,0.221342590761786,0.452321447719734,0.482374496180763,0.446156238978638,0.361633744459615,0.368560768915484,0.48921203682953,0.573226451299294,0.538964541131999,0.352794884257431,0.232362146529124
"visualization3",0.571132013937918,0.221342590761786,1,0.761448097460107,0.442175544219031,0.524032245172328,0.467319402664789,0.427104671207743,0.493003337095099,0.566383030040251,0.318507030028142,0.301541381972667,0.312538982396617
"visualization4",0.529708952049338,0.452321447719734,0.761448097460107,1,0.722520455493779,0.48148269430558,0.510809912513152,0.491288449881047,0.528452368874297,0.61972301338321,0.292497761427391,0.330514254266456,0.417354045474142
"visualization5",0.620913926661926,0.482374496180763,0.442175544219031,0.722520455493779,1,0.3692904744858,0.435600062850199,0.336407824536062,0.510628758109575,0.35492790890668,0.432265440736504,0.488002059820336,0.467315336235981
"visualization6",0.549182246739622,0.446156238978638,0.524032245172328,0.48148269430558,0.3692904744858,1,0.36887268435914,0.0300526505444115,0.283811065716359,0.263850265627005,0.215266501273503,0.237225126224638,0.315644025852338
"cognitive1",0.172159262270283,0.361633744459615,0.467319402664789,0.510809912513152,0.435600062850199,0.36887268435914,1,0.46820920380602,0.749677752088829,0.599935195164136,0.363278214491303,0.251138838635983,0.400180408127503
"cognitive2",0.258089572233937,0.368560768915484,0.427104671207743,0.491288449881047,0.336407824536062,0.0300526505444115,0.46820920380602,1,0.748723160801728,0.671762473735179,0.315622267967992,0.244540113856693,0.35452310297225
"cognitive3",0.281258064300322,0.48921203682953,0.493003337095099,0.528452368874297,0.510628758109575,0.283811065716359,0.749677752088829,0.748723160801728,1,0.736728505254084,0.569632101924943,0.524523343919833,0.570592012725206
"cognitive4",0.344057087040548,0.573226451299294,0.566383030040251,0.61972301338321,0.35492790890668,0.263850265627005,0.599935195164136,0.671762473735179,0.736728505254084,1,0.523821779223121,0.384263874475855,0.409485025008506
"intuitiveness1",0.459342920875855,0.538964541131999,0.318507030028142,0.292497761427391,0.432265440736504,0.215266501273503,0.363278214491303,0.315622267967992,0.569632101924943,0.523821779223121,1,0.882352538123714,0.605912707109848
"intuitiveness2",0.52307746087963,0.352794884257431,0.301541381972667,0.330514254266456,0.488002059820336,0.237225126224638,0.251138838635983,0.244540113856693,0.524523343919833,0.384263874475855,0.882352538123714,1,0.683865079720371
"intuitiveness3",0.549877678582056,0.232362146529124,0.312538982396617,0.417354045474142,0.467315336235981,0.315644025852338,0.400180408127503,0.35452310297225,0.570592012725206,0.409485025008506,0.605912707109848,0.683865079720371,1
