"","visualization1","visualization2","visualization3","visualization4","visualization5","visualization6","cognitive1","cognitive2","cognitive3","cognitive4","intuitiveness1","intuitiveness2","intuitiveness3"
"visualization1",1,0.234713292462248,0.492187791653988,0.419893650904363,0.242448417533264,0.194570268460784,-0.0132698073708393,0.178506830208107,0.0305658093808922,0.217461011475717,0.308437020159155,0.299287933256538,0.153741312043005
"visualization2",0.234713292462248,1,0.320699157206831,0.338629432304359,0.549714457442506,0.229887320402326,0.351419756277893,0.220435672551944,0.569912478354507,0.164571910872156,0.518571678831342,0.499334071240026,0.67568417608613
"visualization3",0.492187791653988,0.320699157206831,1,0.421206066330555,0.336972531400012,0.256531963961583,0.241471723332177,0.520474896281018,0.223280801591738,0.14545522464881,0.35520719687772,0.2637104210567,0.189953457044375
"visualization4",0.419893650904363,0.338629432304359,0.421206066330555,1,0.242525349022768,0.192851996663694,0.395885473158401,0.487067927317924,0.474963358875218,0.265109334173935,0.365238437894342,0.219726546876351,0.267116694681698
"visualization5",0.242448417533264,0.549714457442506,0.336972531400012,0.242525349022768,1,0.0641090822370092,-0.13529209697114,0.307077477355853,0.31598048154814,0.343934723593454,0.5318893950044,0.358202119567865,0.369675278557882
"visualization6",0.194570268460784,0.229887320402326,0.256531963961583,0.192851996663694,0.0641090822370092,1,0.427956474812395,0.0991514513824601,0.370902484995182,0.438528042682416,0.378201304060712,0.343016265040477,0.327118136953508
"cognitive1",-0.0132698073708393,0.351419756277893,0.241471723332177,0.395885473158401,-0.13529209697114,0.427956474812395,1,0.443467819739849,0.578247334094086,0.136270253576073,0.0436915680937398,0.0157552066217779,0.186330817766863
"cognitive2",0.178506830208107,0.220435672551944,0.520474896281018,0.487067927317924,0.307077477355853,0.0991514513824601,0.443467819739849,1,0.481769786509204,0.415427192038614,0.294977679059027,0.0882898396490271,0.16582441934266
"cognitive3",0.0305658093808922,0.569912478354507,0.223280801591738,0.474963358875218,0.31598048154814,0.370902484995182,0.578247334094086,0.481769786509204,1,0.357165832296061,0.4165810998764,0.384846524070571,0.504011060558235
"cognitive4",0.217461011475717,0.164571910872156,0.14545522464881,0.265109334173935,0.343934723593454,0.438528042682416,0.136270253576073,0.415427192038614,0.357165832296061,1,0.648123211193816,0.443673169524762,0.526442558932374
"intuitiveness1",0.308437020159155,0.518571678831342,0.35520719687772,0.365238437894342,0.5318893950044,0.378201304060712,0.0436915680937398,0.294977679059027,0.4165810998764,0.648123211193816,1,0.8061583788032,0.797621225000849
"intuitiveness2",0.299287933256538,0.499334071240026,0.2637104210567,0.219726546876351,0.358202119567865,0.343016265040477,0.0157552066217779,0.0882898396490271,0.384846524070571,0.443673169524762,0.8061583788032,1,0.76514264132976
"intuitiveness3",0.153741312043005,0.67568417608613,0.189953457044375,0.267116694681698,0.369675278557882,0.327118136953508,0.186330817766863,0.16582441934266,0.504011060558235,0.526442558932374,0.797621225000849,0.76514264132976,1
