"","Tested_model-Excel"
"npar",42
"fmin",1.35468991630914
"chisq",92.1189143090213
"df",62
"pvalue",0.00780431430653861
"baseline.chisq",256.980952027345
"baseline.df",78
"baseline.pvalue",0
"cfi",0.831720001665766
"tli",0.788292905321447
"cfi.robust",0.827121402035597
"tli.robust",0.782507570302848
"nnfi",0.788292905321447
"rfi",0.549026741312023
"nfi",0.641534076427505
"pnfi",0.50993734280135
"ifi",0.845528940156179
"rni",0.831720001665766
"nnfi.robust",0.782507570302848
"rni.robust",0.827121402035597
"logl",-475.812835530952
"unrestricted.logl",-429.753378376441
"aic",1035.6256710619
"bic",1099.73281309578
"ntotal",34
"bic2",968.655205602447
"rmsea",0.119532045969971
"rmsea.ci.lower",0.0627963349733918
"rmsea.ci.upper",0.16857000006347
"rmsea.ci.level",0.9
"rmsea.pvalue",0.027974221033446
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.88937021237269
"rmsea.notclose.h0",0.08
"rmsea.robust",0.121215055795222
"rmsea.ci.lower.robust",0.0647732744436619
"rmsea.ci.upper.robust",0.170311194110263
"rmsea.pvalue.robust",0.0253212464825594
"rmsea.notclose.pvalue.robust",0.898045757306412
"rmr",0.0795495233156102
"rmr_nomean",0.0849704311611366
"srmr",0.0937405583280039
"srmr_bentler",0.0937405583280039
"srmr_bentler_nomean",0.100165335989058
"crmr",0.100220591772077
"crmr_nomean",0.108199270359105
"srmr_mplus",0.0937321023189984
"srmr_mplus_nomean",0.10017337747126
"cn_05",31.0367686395062
"cn_01",34.5137698072737
"gfi",0.990623905127913
"agfi",0.984272356988758
"pgfi",0.590564251133948
"mfi",0.642155231807624
"ecvi",5.17996806791239
