"","Tested_model-Power BI"
"npar",42
"fmin",0.847711262346412
"chisq",74.5985910864842
"df",62
"pvalue",0.130997898003082
"baseline.chisq",342.72471647782
"baseline.df",78
"baseline.pvalue",0
"cfi",0.952408708736723
"tli",0.94012708518491
"cfi.robust",0.948831682849548
"tli.robust",0.93562695584298
"nnfi",0.94012708518491
"rfi",0.726165532023428
"nfi",0.782336704941699
"pnfi",0.621857380851094
"ifi",0.955121190451074
"rni",0.952408708736723
"nnfi.robust",0.93562695584298
"rni.robust",0.948831682849548
"logl",-617.845610281772
"unrestricted.logl",-580.54631473853
"aic",1319.69122056354
"bic",1394.62718518811
"ntotal",44
"bic2",1263.01589834147
"rmsea",0.0679577211547518
"rmsea.ci.lower",0
"rmsea.ci.upper",0.118790741883192
"rmsea.ci.level",0.9
"rmsea.pvalue",0.302906680376744
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.382390233672987
"rmsea.notclose.h0",0.08
"rmsea.robust",0.0706254100742457
"rmsea.ci.lower.robust",0
"rmsea.ci.upper.robust",0.121413144685775
"rmsea.pvalue.robust",0.279632039755826
"rmsea.notclose.pvalue.robust",0.413174651503405
"rmr",0.0696093420798798
"rmr_nomean",0.0743826402241901
"srmr",0.082656668975775
"srmr_bentler",0.082656668975775
"srmr_bentler_nomean",0.0883172017466556
"crmr",0.0880636168536467
"crmr_nomean",0.0950691868716066
"srmr_mplus",0.0861158579601439
"srmr_mplus_nomean",0.0881708655478152
"cn_05",49.0004329325775
"cn_01",54.5568748842063
"gfi",0.993560435767679
"agfi",0.989198150319977
"pgfi",0.592314875169193
"mfi",0.866610366223196
"ecvi",3.60451343378373
