"","Tested_model-full_data"
"npar",210
"fmin",1.21551527146726
"chisq",508.085383473315
"df",310
"pvalue",8.60522764156713e-12
"baseline.chisq",1543.27095089181
"baseline.df",390
"baseline.pvalue",0
"cfi",0.828240377233001
"tli",0.78391531329313
"cfi.robust",0.827719788974871
"tli.robust",0.783260379678064
"nnfi",0.78391531329313
"rfi",0.58581207548667
"nfi",0.670773701027866
"pnfi",0.533179095688816
"ifi",0.839382105505627
"rni",0.828240377233001
"nnfi.robust",0.783260379678064
"rni.robust",0.827719788974871
"logl",-2898.17668232496
"unrestricted.logl",-2644.13399058831
"aic",6216.35336464993
"bic",6918.24355756254
"ntotal",209
"bic2",6252.85226830683
"rmsea",0.123639496404889
"rmsea.ci.lower",0.10401403426153
"rmsea.ci.upper",0.142705429241532
"rmsea.ci.level",0.9
"rmsea.pvalue",5.3522255738514e-08
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.999723672900323
"rmsea.notclose.h0",0.08
"rmsea.robust",0.123881387109635
"rmsea.ci.lower.robust",0.104127459275679
"rmsea.ci.upper.robust",0.143063519074294
"rmsea.pvalue.robust",5.98952469843539e-08
"rmsea.notclose.pvalue.robust",0.999718722484642
"rmr",0.0797520729016676
"rmr_nomean",0.0852399406001087
"srmr",0.103235307576602
"srmr_bentler",0.103235307576602
"srmr_bentler_nomean",0.110345584180527
"crmr",0.110300492667086
"crmr_nomean",0.119119100981186
"srmr_mplus",0.103964512607648
"srmr_mplus_nomean",0.110315489507922
"cn_05",145.819920457431
"cn_01",153.547937588071
"gfi",0.990988682923328
"agfi",0.984884242323001
"pgfi",0.590781714819676
"mfi",0.622576680185289
"ecvi",4.44059992092495
